"","OVOL2","miR145","GRHL2","Ecad","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.719008413812548,0.705970219639381,0.695950321481519,0.695950321481519,0.63830010872147,0.219894062114233,-0.194812649194806,-0.208864650349527,-0.357319622701302,-0.738756470367465,-0.656846832275835
"miR200",0.713847140510076,0.700984073990856,0.690963772086719,0.690963772086719,0.626053297468382,0.224676099420037,-0.178613597211059,-0.31392660195665,-0.251322261560129,-0.733078399789312,-0.652931319917931
"miR145",0.62397190940818,0.616088547383338,0.601600242339262,0.601600242339262,0.556410599424443,0.0862567576877361,-0.163891016221668,-0.0773372750010444,-0.346381767837458,-0.63644836931739,-0.676209922973358
"Ecad",0.581231572666059,0.568695665567091,0.555873388772626,0.555873388772626,0.40840553535112,0.151431276502859,-0.0374884049518216,-0.143700226389537,-0.391110984084563,-0.586381382339933,-0.534192264206546
"OVOL2",0.534354404061987,0.39994987355481,0.391476392985453,0.391476392985453,0.364231982792752,-0.0671279876838279,-0.13154520114387,0.0726826590191772,-0.263145781759313,-0.413015311583195,-0.375051140468539
"NRF2",0.392827673937234,0.372932546720397,0.36564022890373,0.36564022890373,0.342368904436255,0.18343588781859,-0.129828642571686,-0.178214531736813,-0.126940303753318,-0.389850063892647,-0.346278663690675
"miR34",0.392827673937234,0.372932546720397,0.36564022890373,0.36564022890373,0.342368904436255,0.18343588781859,-0.129828642571686,-0.178214531736813,-0.126940303753318,-0.389850063892647,-0.346278663690675
"OCT4",0.00784370460147313,-0.131322733247748,0.00885880795484903,0.00885880795484903,0.0121387657746917,0.144615599267902,-0.028844910869935,-0.144295086447389,0.119990622619639,-0.00987554000192292,0.132922160318648
"KEAP1",-0.364595387596839,-0.346278663690675,-0.33953368238902,-0.33953368238902,-0.320163241246985,-0.178214531736813,0.121388399492686,0.170718067804705,0.00877336430978322,0.36564022890373,0.312996455101718
"SNAIL",-0.418284999643753,-0.398019680572826,-0.389850063892647,-0.389850063892647,-0.363494176839345,-0.188996258205854,0.034674828833802,0.18343588781859,0.140954555534791,0.410756646067627,0.372932546720397
"ZEB",-0.764303835957329,-0.750060608059667,-0.738756470367465,-0.738756470367465,-0.674520435130966,-0.228766473262277,0.207474604436267,0.219894062114233,0.38430637766819,0.676234002356574,0.705970219639381
