"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","NRF2","KEAP1","ZEB"
"miR145",0.641985240021503,0.641985240021503,0.641985240021503,0.593054081947758,0.335576592159722,0.328304838435627,-0.185318314094255,-0.300190109810189,-0.306668222624253,-0.674539911989694
"GRHL2",0.641985240021503,0.641985240021503,0.641985240021503,0.593054081947758,0.335576592159722,0.328304838435627,-0.185318314094255,-0.300190109810189,-0.306668222624253,-0.674539911989694
"miR200",0.639442998463933,0.639442998463933,0.639442998463933,0.583452223380033,0.336319097085611,0.327453254426898,-0.169853428615421,-0.197343036519253,-0.406654118357783,-0.67177818880748
"Ecad",0.51211319390065,0.51211319390065,0.51211319390065,0.372600180646381,0.269514193336977,0.230682908018959,-0.0302198486842547,-0.346154695951321,-0.216030340043128,-0.53503007200884
"NRF2",0.343378115369595,0.343378115369595,0.343378115369595,0.323799667730232,0.214861873509681,0.228780815392079,-0.127974716307809,-0.106100515954607,-0.221275547115211,-0.363843514345023
"miR34",0.343378115369595,0.343378115369595,0.343378115369595,0.323799667730232,0.214861873509681,0.228780815392079,-0.127974716307809,-0.106100515954607,-0.221275547115211,-0.363843514345023
"OVOL2",0.192039072635472,0.192039072635472,0.192039072635472,0.18289559341977,0.0206646648137242,0.0199921557764924,-0.0845368272885926,-0.109791617288797,-0.0109185328636634,-0.198552848714465
"KEAP1",-0.323322713707545,-0.323322713707545,-0.323322713707545,-0.307155134751037,-0.206593483469765,-0.221275547115211,0.117867040031324,-0.00983985101787027,0.204780701754386,0.343378115369595
"SNAIL",-0.363843514345023,-0.363843514345023,-0.363843514345023,-0.342193666063102,-0.226317350920576,-0.240038891395538,0.0299766854577929,0.113379795233886,0.228780815392079,0.37944259771473
"ZEB",-0.674539911989694,-0.674539911989694,-0.674539911989694,-0.619819270781912,-0.351176047200594,-0.342139463194621,0.199273076558057,0.320529310632494,0.328304838435627,0.603532866172418
