"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","KEAP1","SNAIL","NRF2","ZEB","OCT4"
"miR200",0.364525025993673,0.353915396160068,0.353915396160068,0.285196798311508,0.132567163019699,0.0659467828783268,-0.133971583586918,-0.0464081772231888,-0.00818833277752559,-0.345889713977082,-0.322438156298216
"GRHL2",0.315589148522779,0.307590329073716,0.307590329073716,0.257632757271959,0.112659521435325,0.0453848027449598,-0.00786435786435786,-0.0343034853857485,-0.0935807613158312,-0.29270846347077,-0.268347204230042
"NRF2",0.241909574450486,0.23239861840311,0.23239861840311,0.238390949787193,0.134842358525819,0.149392942600023,-0.167440615698775,-0.114424461556128,-0.0693134116000036,-0.258963216845227,-0.253824468067508
"miR34",0.241909574450486,0.23239861840311,0.23239861840311,0.238390949787193,0.134842358525819,0.149392942600023,-0.167440615698775,-0.114424461556128,-0.0693134116000036,-0.258963216845227,-0.253824468067508
"Ecad",0.244311884869576,0.232967007991456,0.232967007991456,0.0924825692501649,0.077589238161587,0.0327741041703268,-0.0105656367278906,0.0681997917546542,-0.166235093522829,-0.225428649085519,-0.217474421618841
"miR145",0.246750738360309,0.233832580400392,0.233832580400392,0.192443924029258,0.0745155912750685,-0.0929274216542603,0.12129078872412,-0.0123267433001562,-0.174008019909148,-0.221163986951451,-0.311437475545012
"OVOL2",0.0816905385226127,0.0802918530455607,0.0802918530455607,0.0799735800371353,-0.0263103009648325,-0.0428984280590843,0.0828370089545102,-0.0225745631342935,-0.0384718158826084,-0.0512159702506696,-0.0405072438590396
"OCT4",-0.114160257620348,0.0261947555403524,0.0261947555403524,0.0160892744628819,0.00973510346625455,0.148820582547963,-0.146947923371933,-0.0237906934479227,0.136051881841355,-0.0256209422904828,0.119104758124889
"ZEB",-0.300057813372915,-0.29270846347077,-0.29270846347077,-0.23112132809016,-0.0865733552837164,-0.0166692314332608,0.0453848027449598,0.0827337716276691,0.136821803661108,0.223494788257095,0.315589148522779
"KEAP1",-0.253824468067508,-0.244191833265792,-0.244191833265792,-0.252742007534477,-0.154944399342145,-0.167440615698775,0.14198236722627,0.0877257656055448,-0.0614653275841744,0.23239861840311,0.212733558976599
"SNAIL",-0.270343929704406,-0.258963216845227,-0.258963216845227,-0.26499326638951,-0.15917809669228,-0.169496973809386,0.149392942600023,-0.00771750606529149,0.0514755737621658,0.249492072666662,0.241909574450486
