"","GRHL2","Ecad","miR34","miR145","OCT4","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB"
"GRHL2",0.630007157546315,0.630007157546315,0.58390546194137,0.536434348978521,0.506993396282524,0.337649606631012,0.330123749281641,-0.184620494209807,-0.284152569228905,-0.315958430160424,-0.660250694882949
"miR200",0.62829661687515,0.62829661687515,0.574998092115726,0.536635598010608,0.507791532843812,0.3365590734886,0.331261683816878,-0.169225854534025,-0.182260625661635,-0.415624833994008,-0.658409303563025
"miR145",0.54906090730108,0.54906090730108,0.514768790952592,0.379019507260729,0.454919709553379,0.284581494769067,0.287678859920336,-0.166542002789504,-0.219415723605426,-0.266784248210869,-0.574073897995019
"Ecad",0.504904149291059,0.504904149291059,0.367135665199622,0.438090041589064,0.417817932745526,0.2398022741853,0.266252934591748,-0.0299910679936201,-0.334903168765326,-0.22502010344745,-0.526321233767456
"NRF2",0.3401949571277,0.3401949571277,0.321632115764394,0.29851393379082,0.283029753541539,0.236610250087969,0.213519022717965,-0.128106672882241,-0.100218606789904,-0.228623781489646,-0.359561183217512
"miR34",0.3401949571277,0.3401949571277,0.321632115764394,0.29851393379082,0.283029753541539,0.236610250087969,0.213519022717965,-0.128106672882241,-0.100218606789904,-0.228623781489646,-0.359561183217512
"OVOL2",0.189642020986532,0.189642020986532,0.181003388790414,0.163641051013582,0.15558279021896,0.0232224109762705,0.019513768544772,-0.0845759233959624,-0.106061201188726,-0.0142935553340613,-0.195750161212319
"OCT4",0.00754995920045294,0.00754995920045294,0.0100597496577847,-0.0654303310007991,-0.0663135966966692,0.0769773482837778,0.00404545491474387,-0.0229121410101182,0.0800700670640835,-0.0763363226427522,-0.0081824145683178
"KEAP1",-0.320979478728549,-0.320979478728549,-0.305600606290261,-0.283029753541539,-0.260790489737858,-0.228623781489646,-0.20555700664784,0.118045903132072,-0.0144567887365551,0.211509212889929,0.3401949571277
"SNAIL",-0.359561183217512,-0.359561183217512,-0.339178176650612,-0.313856907465273,-0.29851393379082,-0.248063974487002,-0.224409887530787,0.0300662177621396,0.106360445948371,0.236610250087969,0.37420754462389
"ZEB",-0.660250694882949,-0.660250694882949,-0.608924007935436,-0.56064553298352,-0.536434348978521,-0.351782820642774,-0.344681012072708,0.198033332843493,0.301986060241204,0.337649606631012,0.586815447245427
