"","miR145","miR34","GRHL2","Ecad","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.643136703872587,0.63088695750543,0.63088695750543,0.63088695750543,0.330324808455471,0.269681810609293,-0.183775256693045,-0.253980558752726,-0.30595952221099,-0.66121628814388,-0.60350575753773
"miR200",0.641489315893785,0.629396905343809,0.629396905343809,0.629396905343809,0.331476109687129,0.271847814046229,-0.169966050565652,-0.35664893617828,-0.203166907889056,-0.659619027847735,-0.60252578422392
"miR145",0.563426267343635,0.547177869951455,0.547177869951455,0.547177869951455,0.286496091207725,0.125533537458949,-0.153873597985288,-0.112792425098426,-0.304041360365446,-0.571781121825664,-0.631332603431789
"Ecad",0.526662996689379,0.51252692228909,0.51252692228909,0.51252692228909,0.269964524791397,0.193991809889116,-0.0400753574473621,-0.18280536921115,-0.354078100674371,-0.534674774436942,-0.498085465719708
"NRF2",0.35293936319443,0.344321363497526,0.344321363497526,0.344321363497526,0.213718491151002,0.201561587172151,-0.162474981674465,-0.195472182033116,-0.114351852641696,-0.364333071956888,-0.331403941235638
"miR34",0.35293936319443,0.344321363497526,0.344321363497526,0.344321363497526,0.213718491151002,0.201561587172151,-0.162474981674465,-0.195472182033116,-0.114351852641696,-0.364333071956888,-0.331403941235638
"OVOL2",0.195200963877648,0.189841548714643,0.189841548714643,0.189841548714643,0.0196586280256548,0.0029313174674767,-0.0848077303040941,0.00378444423839272,-0.112497653080895,-0.195624246491469,-0.183507167133257
"OCT4",-0.131935978484903,0.00820747207981785,0.00820747207981785,0.00820747207981785,0.00440539526968655,0.144752217585249,-0.0271178517411112,-0.144164425573191,0.120244952259195,-0.00898878633263469,0.133299836254022
"KEAP1",-0.331403941235638,-0.32343330846313,-0.32343330846313,-0.32343330846313,-0.204510506604962,-0.195472182033116,0.152161906168019,0.182804020598138,-0.00159946061903427,0.344321363497526,0.301475625823452
"SNAIL",-0.373924844936621,-0.364333071956888,-0.364333071956888,-0.364333071956888,-0.224598555545958,-0.209871105747662,0.0652884285075337,0.201561587172151,0.123223791622025,0.380078767807168,0.35293936319443
"ZEB",-0.674601781448149,-0.66121628814388,-0.66121628814388,-0.66121628814388,-0.344672244666443,-0.279559427141092,0.195835338781946,0.269681810609293,0.326251138249872,0.588451353799511,0.643136703872587
