"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR200",0.592035955763068,0.576097071193832,0.576097071193832,0.523610022883034,0.295038310477966,0.238452655080084,-0.149168934334528,-0.328891637890143,-0.173626271254971,-0.596366145366252,-0.564872494224607
"GRHL2",0.592156921503743,0.575765232261393,0.575765232261393,0.530746704532846,0.292548614254492,0.234118680465131,-0.163097778804687,-0.224157171612167,-0.276062626346717,-0.595918783125116,-0.564429767116864
"OCT4",0.349924338738296,0.564872494224607,0.564872494224607,0.513501616948301,0.29123135514488,0.341353959490062,-0.154059054276774,-0.334057822151006,-0.131150716372235,-0.592035955763068,-0.314954199388595
"Ecad",0.465796881449025,0.447489542517885,0.447489542517885,0.314927960931233,0.230229171723322,0.157365500365401,-0.0117390660924407,-0.151166039448959,-0.323131316056477,-0.460712935402295,-0.448508324235095
"NRF2",0.321613491306081,0.311132321670168,0.311132321670168,0.293440385295421,0.194076373418034,0.188701644963438,-0.116796746443553,-0.185554516717962,-0.0922549604971616,-0.3242979298773,-0.307165710191634
"miR34",0.321613491306081,0.311132321670168,0.311132321670168,0.293440385295421,0.194076373418034,0.188701644963438,-0.116796746443553,-0.185554516717962,-0.0922549604971616,-0.3242979298773,-0.307165710191634
"OVOL2",0.170471750153438,0.163815035286822,0.163815035286822,0.157349601486317,0.00419799978480981,-0.0100677027956367,-0.0769918542125312,0.014821587814392,-0.100625563557389,-0.167412294517884,-0.163732507022282
"KEAP1",-0.307165710191634,-0.29739072346255,-0.29739072346255,-0.282149596961607,-0.189000996533612,-0.185554516717962,0.110515339408377,0.17709620837963,-0.0192780915422196,0.311132321670168,0.283666218838633
"SNAIL",-0.335886743950286,-0.3242979298773,-0.3242979298773,-0.305051580454272,-0.201275584463399,-0.193817804304451,0.0178554567419167,0.188701644963438,0.0974793563544688,0.333603418755521,0.321613491306081
"ZEB",-0.613631417860365,-0.595918783125116,-0.595918783125116,-0.546526780420057,-0.301835341972795,-0.239459566566688,0.17189587651329,0.234118680465131,0.289352622735305,0.512197415067382,0.592156921503743
"miR145",-0.314954199388595,-0.53183545718757,-0.53183545718757,-0.48927658824566,-0.276732844717869,-0.334057822151006,0.134653604235486,0.314619883040936,0.106984049705569,0.564872494224607,0.168891207262611
