"","OCT4","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","miR145"
"miR200",0.414447442698973,0.403868882826605,0.403868882826605,0.387786256469149,0.229631402595113,0.208959126818763,-0.119160485288277,-0.0836303491219293,-0.324299728430281,-0.409341465993694,-0.423027737501145
"GRHL2",0.408743028356102,0.397546928115663,0.397546928115663,0.384199560606934,0.224992317835928,0.204383401113811,-0.130446960403645,-0.182454864897613,-0.219600160973183,-0.4027458457275,-0.417211437221468
"miR145",0.151997051124526,0.357908770654948,0.357908770654948,0.347411309892316,0.0892535212026795,0.18402158676456,-0.111420461967771,-0.203465107664728,-0.0849397957124834,-0.362032725494572,-0.25878059798899
"Ecad",0.340871843031496,0.327040358071221,0.327040358071221,0.218548707567948,0.154177504076404,0.168843494927962,0.0100207813415739,-0.257585898817668,-0.15091216369195,-0.330426981853266,-0.345905856636939
"NRF2",0.247227035836981,0.241343742673212,0.241343742673212,0.241387646602861,0.190208879737097,0.159081017122145,-0.105615320733926,-0.0568918290229275,-0.188046797077882,-0.245686571669189,-0.252692040630845
"miR34",0.247227035836981,0.241343742673212,0.241343742673212,0.241387646602861,0.190208879737097,0.159081017122145,-0.105615320733926,-0.0568918290229275,-0.188046797077882,-0.245686571669189,-0.252692040630845
"OVOL2",0.125473222463667,0.120700098387343,0.120700098387343,0.119795244094816,-0.0113840845327547,-0.0174545692350374,-0.0695296663477755,-0.0770406780927679,0.0140951036849644,-0.121585422213844,-0.127446849973794
"OCT4",0.146111340041148,0.00707117054176466,0.00707117054176466,0.0106549110642417,0.145040791359761,0.00375167130986418,-0.0285607109544796,0.120764511508528,-0.144603728422698,-0.00739940687192237,-0.146994605737019
"KEAP1",-0.236337465284834,-0.236387474451637,-0.236387474451637,-0.236980578261366,-0.188046797077882,-0.157510527713818,0.102509311280853,-0.0476362669945302,0.181493284583776,0.241343742673212,0.247227035836981
"SNAIL",-0.252692040630845,-0.245686571669189,-0.245686571669189,-0.245488551311307,-0.193296960747908,-0.161589937097226,0.00595244673476854,0.0577062165356523,0.190208879737097,0.248241763819639,0.257667939778045
"ZEB",-0.417211437221468,-0.4027458457275,-0.4027458457275,-0.388242587313166,-0.22751724752143,-0.206783211029857,0.134157207753468,0.185695167641227,0.224992317835928,0.306296236359452,0.423032534795143
