"","miR145","GRHL2","miR34","OVOL2","miR200","NRF2","KEAP1","SNAIL","ZEB","OCT4"
"GRHL2",0.620380948833065,0.605519638745151,0.58293511910341,0.308097006270078,0.258409186800132,0.234067081106762,-0.244422258695557,-0.27623736510549,-0.631921718121338,-0.585258866729496
"miR200",0.618407020074716,0.603861857686778,0.571330123303874,0.309598098483232,0.261228473270439,0.337152356730325,-0.3478239298674,-0.238901359275274,-0.630142788603897,-0.584331846978772
"miR145",0.535852219259757,0.516064504655981,0.500564873749929,0.26383777936575,0.112120042523145,0.0929686623650414,-0.101141739288118,-0.228802785183579,-0.536795433478196,-0.608157289562271
"NRF2",0.330348571405529,0.320475268056209,0.310688059264713,0.198926525833436,0.197440490936356,0.182330589281553,-0.192666828384915,-0.157219493166263,-0.337020950158837,-0.313580071744972
"miR34",0.330348571405529,0.320475268056209,0.310688059264713,0.198926525833436,0.197440490936356,0.182330589281553,-0.192666828384915,-0.157219493166263,-0.337020950158837,-0.313580071744972
"OVOL2",0.178534432336039,0.17222703092422,0.169713335709206,0.00877087776580303,-0.00396290447336291,-0.00714794478769905,0.0099223125755704,-0.100271926848565,-0.17678300787344,-0.169332304676465
"OCT4",-0.131132414289157,0.0100897703902188,0.0141467088723186,0.00527623925704483,0.146572153850241,0.145275055165861,-0.145972582115766,-0.0263953642598002,-0.0109776870032673,0.132936446832489
"KEAP1",-0.313580071744972,-0.304309425530534,-0.295594299658196,-0.192930098173319,-0.192666828384915,-0.275689223057644,0.182330589281553,0.146889354721108,0.320475268056209,0.286961366709001
"SNAIL",-0.347987754714689,-0.337020950158837,-0.326050848077035,-0.208054076425425,-0.204364610177548,-0.192666828384915,0.197440490936356,0.0630872909746756,0.34900179401979,0.330348571405529
"ZEB",-0.648067083474171,-0.631921718121338,-0.606163177883958,-0.320116816201814,-0.266812912162922,-0.244422258695557,0.258409186800132,0.293901061895195,0.554831741462014,0.620380948833065
