,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,ovol_1,2,0,0,0,0,0
1,ovol_10,2,0,0,0,0,0
2,ovol_11,2,0,0,0,0,0
3,ovol_12,1,0,0,0,0,0
4,ovol_13,2,0,0,0,0,0
5,ovol_14,3,0,1,1,1,1
6,ovol_15,2,0,0,0,0,0
7,ovol_16,3,1,0,0,0,0
8,ovol_17,1,0,0,0,0,0
9,ovol_18,3,1,0,0,2,2
10,ovol_19,1,0,0,0,0,0
11,ovol_2,1,0,0,0,0,0
12,ovol_20,2,0,0,0,0,0
13,ovol_21,1,0,0,0,0,0
14,ovol_22,2,0,0,0,0,0
15,ovol_23,1,0,0,0,0,0
16,ovol_24,2,0,0,0,0,0
17,ovol_25,1,0,0,0,0,0
18,ovol_26,1,0,0,0,0,0
19,ovol_27,1,0,0,0,0,0
20,ovol_28,3,0,1,1,1,1
21,ovol_29,1,0,0,0,0,0
22,ovol_3,2,0,0,0,0,0
23,ovol_30,3,1,0,0,0,0
24,ovol_31,3,1,0,0,2,2
25,ovol_32,2,0,0,0,0,0
26,ovol_33,3,1,0,0,2,2
27,ovol_34,2,0,0,0,0,0
28,ovol_35,3,1,0,0,2,2
29,ovol_36,2,0,0,0,0,0
30,ovol_4,3,1,0,0,2,2
31,ovol_5,2,0,0,0,0,0
32,ovol_6,2,0,0,0,0,0
33,ovol_7,2,0,0,0,0,0
34,ovol_8,2,0,0,0,0,0
35,ovol_9,2,0,0,0,0,0
36,wild,3,1,0,0,2,2
