"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"CD44s",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
"CDH1",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"EMT",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
"ESRP1",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"EXTGFB",-0.0040037281749981,0.00400372817499805,-0.0040037281749981,0.00400372817499805,-0.0040037281749981,1,-0.0040037281749981,0.00400372817499805,0.00400372817499805,-0.0040037281749981,-0.0040037281749981,-0.0040037281749981,-0.0040037281749981,-0.0040037281749981,0.494504355370798,0.00400372817499805,0.00400372817499805,0.00400372817499805
"GRHL2",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"HA",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
"HAS2",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
"MIR1199",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"MIR190",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"MIR200",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"MIR34",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"MIR340",1,-1,1,-1,1,-0.0040037281749981,1,-1,-1,1,1,1,1,1,-0.509493788030119,-1,-1,-1
"SNAIL1",-0.509493788030119,0.509493788030119,-0.509493788030119,0.509493788030119,-0.509493788030119,0.494504355370798,-0.509493788030119,0.509493788030119,0.509493788030119,-0.509493788030119,-0.509493788030119,-0.509493788030119,-0.509493788030119,-0.509493788030119,1,0.509493788030119,0.509493788030119,0.509493788030119
"TGFB",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
"VIM",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
"ZEB1",-1,1,-1,1,-1,0.00400372817499805,-1,1,1,-1,-1,-1,-1,-1,0.509493788030119,1,1,1
