"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.529702408814541,-0.527689044516755,1,-0.0595876737235901,1,-1,-1,1,1,0.53371420236842,0.531085308008506,1,-0.527277978115722,-1,-0.531493168011345,-1
"CD44s",-1,1,-0.529702408814541,0.527689044516755,-1,0.0595876737235901,-1,1,1,-1,-1,-0.53371420236842,-0.531085308008507,-1,0.527277978115722,1,0.531493168011345,1
"CDH1",0.529702408814541,-0.529702408814541,1,-0.635155792136585,0.529702408814541,-0.529878252821491,0.529702408814541,-0.529702408814541,-0.529702408814541,0.529702408814541,0.529702408814541,0.685382857094795,0.691626598190324,0.529702408814541,-0.687395695372502,-0.529702408814541,-0.695234260793673,-0.529702408814541
"EMT",-0.527689044516755,0.527689044516755,-0.635155792136585,1,-0.527689044516755,0.531889960464979,-0.527689044516755,0.527689044516755,0.527689044516755,-0.527689044516755,-0.527689044516755,-0.633951224592207,-0.632556740169754,-0.527689044516755,0.57810232949048,0.527689044516755,0.794077270253175,0.527689044516755
"ESRP1",1,-1,0.529702408814541,-0.527689044516755,1,-0.0595876737235901,1,-1,-1,1,1,0.53371420236842,0.531085308008506,1,-0.527277978115722,-1,-0.531493168011345,-1
"EXTGFB",-0.0595876737235901,0.0595876737235901,-0.529878252821491,0.531889960464979,-0.0595876737235901,1,-0.0595876737235901,0.0595876737235901,0.0595876737235901,-0.0595876737235901,-0.0595876737235901,-0.525864206485897,-0.528498790677422,-0.0595876737235901,0.532299862932141,0.0595876737235901,0.528085679498879,0.0595876737235901
"GRHL2",1,-1,0.529702408814541,-0.527689044516755,1,-0.0595876737235901,1,-1,-1,1,1,0.53371420236842,0.531085308008506,1,-0.527277978115722,-1,-0.531493168011345,-1
"HA",-1,1,-0.529702408814541,0.527689044516755,-1,0.0595876737235901,-1,1,1,-1,-1,-0.53371420236842,-0.531085308008507,-1,0.527277978115722,1,0.531493168011345,1
"HAS2",-1,1,-0.529702408814541,0.527689044516755,-1,0.0595876737235901,-1,1,1,-1,-1,-0.53371420236842,-0.531085308008507,-1,0.527277978115722,1,0.531493168011345,1
"MIR1199",1,-1,0.529702408814541,-0.527689044516755,1,-0.0595876737235901,1,-1,-1,1,1,0.53371420236842,0.531085308008506,1,-0.527277978115722,-1,-0.531493168011345,-1
"MIR190",1,-1,0.529702408814541,-0.527689044516755,1,-0.0595876737235901,1,-1,-1,1,1,0.53371420236842,0.531085308008506,1,-0.527277978115722,-1,-0.531493168011345,-1
"MIR200",0.53371420236842,-0.53371420236842,0.685382857094795,-0.633951224592207,0.53371420236842,-0.525864206485897,0.53371420236842,-0.53371420236842,-0.53371420236842,0.53371420236842,0.53371420236842,1,0.681977786811221,0.53371420236842,-0.68096503556449,-0.53371420236842,-0.685587893341254,-0.53371420236842
"MIR34",0.531085308008506,-0.531085308008507,0.691626598190324,-0.632556740169754,0.531085308008506,-0.528498790677422,0.531085308008506,-0.531085308008507,-0.531085308008507,0.531085308008506,0.531085308008506,0.681977786811221,1,0.531085308008506,-0.690008409147585,-0.531085308008507,-0.684983202501314,-0.531085308008507
"MIR340",1,-1,0.529702408814541,-0.527689044516755,1,-0.0595876737235901,1,-1,-1,1,1,0.53371420236842,0.531085308008506,1,-0.527277978115722,-1,-0.531493168011345,-1
"SNAIL1",-0.527277978115722,0.527277978115722,-0.687395695372502,0.57810232949048,-0.527277978115722,0.532299862932141,-0.527277978115722,0.527277978115722,0.527277978115722,-0.527277978115722,-0.527277978115722,-0.68096503556449,-0.690008409147585,-0.527277978115722,1,0.527277978115722,0.684380120860546,0.527277978115722
"TGFB",-1,1,-0.529702408814541,0.527689044516755,-1,0.0595876737235901,-1,1,1,-1,-1,-0.53371420236842,-0.531085308008507,-1,0.527277978115722,1,0.531493168011345,1
"VIM",-0.531493168011345,0.531493168011345,-0.695234260793673,0.794077270253175,-0.531493168011345,0.528085679498879,-0.531493168011345,0.531493168011345,0.531493168011345,-0.531493168011345,-0.531493168011345,-0.685587893341254,-0.684983202501314,-0.531493168011345,0.684380120860546,0.531493168011345,1,0.531493168011345
"ZEB1",-1,1,-0.529702408814541,0.527689044516755,-1,0.0595876737235901,-1,1,1,-1,-1,-0.53371420236842,-0.531085308008507,-1,0.527277978115722,1,0.531493168011345,1
