"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.222759583620662,-0.222759583620662,1,-0.0496943660459863,1,-1,-1,1,1,0.222759583620662,0.222759583620662,1,-0.222759583620662,-0.222759583620662,-0.222759583620662,-1
"CD44s",-1,1,-0.222759583620662,0.222759583620662,-1,0.0496943660459863,-1,1,1,-1,-1,-0.222759583620662,-0.222759583620662,-1,0.222759583620662,0.222759583620662,0.222759583620662,1
"CDH1",0.222759583620662,-0.222759583620662,1,-1,0.222759583620662,-0.417184603638499,0.222759583620662,-0.222759583620662,-0.222759583620662,0.222759583620662,0.222759583620662,1,1,0.222759583620662,-1,-1,-1,-0.222759583620662
"EMT",-0.222759583620662,0.222759583620662,-1,1,-0.222759583620662,0.417184603638499,-0.222759583620662,0.222759583620662,0.222759583620662,-0.222759583620662,-0.222759583620662,-1,-1,-0.222759583620662,1,1,1,0.222759583620662
"ESRP1",1,-1,0.222759583620662,-0.222759583620662,1,-0.0496943660459863,1,-1,-1,1,1,0.222759583620662,0.222759583620662,1,-0.222759583620662,-0.222759583620662,-0.222759583620662,-1
"EXTGFB",-0.0496943660459863,0.0496943660459863,-0.417184603638499,0.417184603638499,-0.0496943660459863,1,-0.0496943660459863,0.0496943660459863,0.0496943660459863,-0.0496943660459863,-0.0496943660459863,-0.417184603638499,-0.417184603638499,-0.0496943660459863,0.417184603638499,0.417184603638499,0.417184603638499,0.0496943660459863
"GRHL2",1,-1,0.222759583620662,-0.222759583620662,1,-0.0496943660459863,1,-1,-1,1,1,0.222759583620662,0.222759583620662,1,-0.222759583620662,-0.222759583620662,-0.222759583620662,-1
"HA",-1,1,-0.222759583620662,0.222759583620662,-1,0.0496943660459863,-1,1,1,-1,-1,-0.222759583620662,-0.222759583620662,-1,0.222759583620662,0.222759583620662,0.222759583620662,1
"HAS2",-1,1,-0.222759583620662,0.222759583620662,-1,0.0496943660459863,-1,1,1,-1,-1,-0.222759583620662,-0.222759583620662,-1,0.222759583620662,0.222759583620662,0.222759583620662,1
"MIR1199",1,-1,0.222759583620662,-0.222759583620662,1,-0.0496943660459863,1,-1,-1,1,1,0.222759583620662,0.222759583620662,1,-0.222759583620662,-0.222759583620662,-0.222759583620662,-1
"MIR190",1,-1,0.222759583620662,-0.222759583620662,1,-0.0496943660459863,1,-1,-1,1,1,0.222759583620662,0.222759583620662,1,-0.222759583620662,-0.222759583620662,-0.222759583620662,-1
"MIR200",0.222759583620662,-0.222759583620662,1,-1,0.222759583620662,-0.417184603638499,0.222759583620662,-0.222759583620662,-0.222759583620662,0.222759583620662,0.222759583620662,1,1,0.222759583620662,-1,-1,-1,-0.222759583620662
"MIR34",0.222759583620662,-0.222759583620662,1,-1,0.222759583620662,-0.417184603638499,0.222759583620662,-0.222759583620662,-0.222759583620662,0.222759583620662,0.222759583620662,1,1,0.222759583620662,-1,-1,-1,-0.222759583620662
"MIR340",1,-1,0.222759583620662,-0.222759583620662,1,-0.0496943660459863,1,-1,-1,1,1,0.222759583620662,0.222759583620662,1,-0.222759583620662,-0.222759583620662,-0.222759583620662,-1
"SNAIL1",-0.222759583620662,0.222759583620662,-1,1,-0.222759583620662,0.417184603638499,-0.222759583620662,0.222759583620662,0.222759583620662,-0.222759583620662,-0.222759583620662,-1,-1,-0.222759583620662,1,1,1,0.222759583620662
"TGFB",-0.222759583620662,0.222759583620662,-1,1,-0.222759583620662,0.417184603638499,-0.222759583620662,0.222759583620662,0.222759583620662,-0.222759583620662,-0.222759583620662,-1,-1,-0.222759583620662,1,1,1,0.222759583620662
"VIM",-0.222759583620662,0.222759583620662,-1,1,-0.222759583620662,0.417184603638499,-0.222759583620662,0.222759583620662,0.222759583620662,-0.222759583620662,-0.222759583620662,-1,-1,-0.222759583620662,1,1,1,0.222759583620662
"ZEB1",-1,1,-0.222759583620662,0.222759583620662,-1,0.0496943660459863,-1,1,1,-1,-1,-0.222759583620662,-0.222759583620662,-1,0.222759583620662,0.222759583620662,0.222759583620662,1
