"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"CD44s",-1,1,-0.619726734681387,0.619726734681387,-1,0.112217729376011,-1,1,1,-1,-1,-0.619726734681387,-1,-1,0.619726734681387,0.619726734681387,0.619726734681387,1
"CDH1",0.619726734681387,-0.619726734681387,1,-1,0.619726734681387,-0.492499297868685,0.619726734681387,-0.619726734681387,-0.619726734681387,0.619726734681387,0.619726734681387,1,0.619726734681387,0.619726734681387,-1,-1,-1,-0.619726734681387
"EMT",-0.619726734681387,0.619726734681387,-1,1,-0.619726734681387,0.492499297868685,-0.619726734681387,0.619726734681387,0.619726734681387,-0.619726734681387,-0.619726734681387,-1,-0.619726734681387,-0.619726734681387,1,1,1,0.619726734681387
"ESRP1",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"EXTGFB",-0.112217729376011,0.112217729376011,-0.492499297868685,0.492499297868685,-0.112217729376011,1,-0.112217729376011,0.112217729376011,0.112217729376011,-0.112217729376011,-0.112217729376011,-0.492499297868685,-0.112217729376011,-0.112217729376011,0.492499297868685,0.492499297868685,0.492499297868685,0.112217729376011
"GRHL2",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"HA",-1,1,-0.619726734681387,0.619726734681387,-1,0.112217729376011,-1,1,1,-1,-1,-0.619726734681387,-1,-1,0.619726734681387,0.619726734681387,0.619726734681387,1
"HAS2",-1,1,-0.619726734681387,0.619726734681387,-1,0.112217729376011,-1,1,1,-1,-1,-0.619726734681387,-1,-1,0.619726734681387,0.619726734681387,0.619726734681387,1
"MIR1199",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"MIR190",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"MIR200",0.619726734681387,-0.619726734681387,1,-1,0.619726734681387,-0.492499297868685,0.619726734681387,-0.619726734681387,-0.619726734681387,0.619726734681387,0.619726734681387,1,0.619726734681387,0.619726734681387,-1,-1,-1,-0.619726734681387
"MIR34",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"MIR340",1,-1,0.619726734681387,-0.619726734681387,1,-0.112217729376011,1,-1,-1,1,1,0.619726734681387,1,1,-0.619726734681387,-0.619726734681387,-0.619726734681387,-1
"SNAIL1",-0.619726734681387,0.619726734681387,-1,1,-0.619726734681387,0.492499297868685,-0.619726734681387,0.619726734681387,0.619726734681387,-0.619726734681387,-0.619726734681387,-1,-0.619726734681387,-0.619726734681387,1,1,1,0.619726734681387
"TGFB",-0.619726734681387,0.619726734681387,-1,1,-0.619726734681387,0.492499297868685,-0.619726734681387,0.619726734681387,0.619726734681387,-0.619726734681387,-0.619726734681387,-1,-0.619726734681387,-0.619726734681387,1,1,1,0.619726734681387
"VIM",-0.619726734681387,0.619726734681387,-1,1,-0.619726734681387,0.492499297868685,-0.619726734681387,0.619726734681387,0.619726734681387,-0.619726734681387,-0.619726734681387,-1,-0.619726734681387,-0.619726734681387,1,1,1,0.619726734681387
"ZEB1",-1,1,-0.619726734681387,0.619726734681387,-1,0.112217729376011,-1,1,1,-1,-1,-0.619726734681387,-1,-1,0.619726734681387,0.619726734681387,0.619726734681387,1
