"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"CD44s",-1,1,-0.514710895875031,0.509116400537331,-1,0.0139809283005311,-1,1,1,-1,-1,-1,-1,-1,0.510682581133237,1,1,1
"CDH1",0.514710895875032,-0.514710895875031,1,-0.785472392478989,0.514710895875032,-0.499299931630299,0.514710895875032,-0.514710895875031,-0.514710895875031,0.514710895875032,0.514710895875032,0.514710895875032,0.514710895875032,0.514710895875032,-0.669441653853699,-0.514710895875031,-0.514710895875031,-0.514710895875031
"EMT",-0.509116400537331,0.509116400537331,-0.785472392478989,1,-0.509116400537331,0.504910728103388,-0.509116400537331,0.509116400537331,0.509116400537331,-0.509116400537331,-0.509116400537331,-0.509116400537331,-0.509116400537331,-0.509116400537331,0.563789657266833,0.509116400537331,0.509116400537331,0.509116400537331
"ESRP1",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"EXTGFB",-0.0139809283005311,0.0139809283005311,-0.499299931630299,0.504910728103388,-0.0139809283005311,1,-0.0139809283005311,0.0139809283005311,0.0139809283005311,-0.0139809283005311,-0.0139809283005311,-0.0139809283005311,-0.0139809283005311,-0.0139809283005311,0.503287552316952,0.0139809283005311,0.0139809283005311,0.0139809283005311
"GRHL2",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"HA",-1,1,-0.514710895875031,0.509116400537331,-1,0.0139809283005311,-1,1,1,-1,-1,-1,-1,-1,0.510682581133237,1,1,1
"HAS2",-1,1,-0.514710895875031,0.509116400537331,-1,0.0139809283005311,-1,1,1,-1,-1,-1,-1,-1,0.510682581133237,1,1,1
"MIR1199",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"MIR190",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"MIR200",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"MIR34",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"MIR340",1,-1,0.514710895875032,-0.509116400537331,1,-0.0139809283005311,1,-1,-1,1,1,1,1,1,-0.510682581133238,-1,-1,-1
"SNAIL1",-0.510682581133238,0.510682581133237,-0.669441653853699,0.563789657266833,-0.510682581133238,0.503287552316952,-0.510682581133238,0.510682581133237,0.510682581133237,-0.510682581133238,-0.510682581133238,-0.510682581133238,-0.510682581133238,-0.510682581133238,1,0.510682581133237,0.510682581133237,0.510682581133237
"TGFB",-1,1,-0.514710895875031,0.509116400537331,-1,0.0139809283005311,-1,1,1,-1,-1,-1,-1,-1,0.510682581133237,1,1,1
"VIM",-1,1,-0.514710895875031,0.509116400537331,-1,0.0139809283005311,-1,1,1,-1,-1,-1,-1,-1,0.510682581133237,1,1,1
"ZEB1",-1,1,-0.514710895875031,0.509116400537331,-1,0.0139809283005311,-1,1,1,-1,-1,-1,-1,-1,0.510682581133237,1,1,1
