"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"CD44s",-1,1,-1,1,-1,0.00300032728260017,-1,1,1,-1,-1,-1,-1,-1,0.502998851267741,1,0.496995599206969,1
"CDH1",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"EMT",-1,1,-1,1,-1,0.00300032728260017,-1,1,1,-1,-1,-1,-1,-1,0.502998851267741,1,0.496995599206969,1
"ESRP1",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"EXTGFB",-0.00300032728260014,0.00300032728260017,-0.00300032728260014,0.00300032728260017,-0.00300032728260014,1,-0.00300032728260014,0.00300032728260017,0.00300032728260017,-0.00300032728260014,-0.00300032728260014,-0.00300032728260014,-0.00300032728260014,-0.00300032728260014,0.500008296935413,0.00300032728260017,0.506008637565602,0.00300032728260017
"GRHL2",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"HA",-1,1,-1,1,-1,0.00300032728260017,-1,1,1,-1,-1,-1,-1,-1,0.502998851267741,1,0.496995599206969,1
"HAS2",-1,1,-1,1,-1,0.00300032728260017,-1,1,1,-1,-1,-1,-1,-1,0.502998851267741,1,0.496995599206969,1
"MIR1199",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"MIR190",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"MIR200",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"MIR34",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"MIR340",1,-1,1,-1,1,-0.00300032728260014,1,-1,-1,1,1,1,1,1,-0.502998851267741,-1,-0.496995599206969,-1
"SNAIL1",-0.502998851267741,0.502998851267741,-0.502998851267741,0.502998851267741,-0.502998851267741,0.500008296935413,-0.502998851267741,0.502998851267741,0.502998851267741,-0.502998851267741,-0.502998851267741,-0.502998851267741,-0.502998851267741,-0.502998851267741,1,0.502998851267741,0.674657619943171,0.502998851267741
"TGFB",-1,1,-1,1,-1,0.00300032728260017,-1,1,1,-1,-1,-1,-1,-1,0.502998851267741,1,0.496995599206969,1
"VIM",-0.496995599206969,0.496995599206969,-0.496995599206969,0.496995599206969,-0.496995599206969,0.506008637565602,-0.496995599206969,0.496995599206969,0.496995599206969,-0.496995599206969,-0.496995599206969,-0.496995599206969,-0.496995599206969,-0.496995599206969,0.674657619943171,0.496995599206969,1,0.496995599206969
"ZEB1",-1,1,-1,1,-1,0.00300032728260017,-1,1,1,-1,-1,-1,-1,-1,0.502998851267741,1,0.496995599206969,1
