"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"CD44s",-1,1,-0.671726509317382,0.671726509317382,-1,0.0370019966122662,-1,1,1,-1,-1,-1,-0.0370019966122663,-1,0.0370019966122662,1,1,1
"CDH1",0.671726509317382,-0.671726509317382,1,-1,0.671726509317382,-0.365273356230374,0.671726509317382,-0.671726509317382,-0.671726509317382,0.671726509317382,0.671726509317382,0.671726509317382,0.365273356230374,0.671726509317382,-0.365273356230374,-0.671726509317382,-0.671726509317382,-0.671726509317382
"EMT",-0.671726509317382,0.671726509317382,-1,1,-0.671726509317382,0.365273356230374,-0.671726509317382,0.671726509317382,0.671726509317382,-0.671726509317382,-0.671726509317382,-0.671726509317382,-0.365273356230374,-0.671726509317382,0.365273356230374,0.671726509317382,0.671726509317382,0.671726509317382
"ESRP1",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"EXTGFB",-0.0370019966122663,0.0370019966122662,-0.365273356230374,0.365273356230374,-0.0370019966122663,1,-0.0370019966122663,0.0370019966122662,0.0370019966122662,-0.0370019966122663,-0.0370019966122663,-0.0370019966122663,-1,-0.0370019966122663,1,0.0370019966122662,0.0370019966122662,0.0370019966122662
"GRHL2",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"HA",-1,1,-0.671726509317382,0.671726509317382,-1,0.0370019966122662,-1,1,1,-1,-1,-1,-0.0370019966122663,-1,0.0370019966122662,1,1,1
"HAS2",-1,1,-0.671726509317382,0.671726509317382,-1,0.0370019966122662,-1,1,1,-1,-1,-1,-0.0370019966122663,-1,0.0370019966122662,1,1,1
"MIR1199",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"MIR190",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"MIR200",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"MIR34",0.0370019966122662,-0.0370019966122663,0.365273356230374,-0.365273356230374,0.0370019966122662,-1,0.0370019966122662,-0.0370019966122663,-0.0370019966122663,0.0370019966122662,0.0370019966122662,0.0370019966122662,1,0.0370019966122662,-1,-0.0370019966122663,-0.0370019966122663,-0.0370019966122663
"MIR340",1,-1,0.671726509317382,-0.671726509317382,1,-0.0370019966122663,1,-1,-1,1,1,1,0.0370019966122662,1,-0.0370019966122663,-1,-1,-1
"SNAIL1",-0.0370019966122663,0.0370019966122662,-0.365273356230374,0.365273356230374,-0.0370019966122663,1,-0.0370019966122663,0.0370019966122662,0.0370019966122662,-0.0370019966122663,-0.0370019966122663,-0.0370019966122663,-1,-0.0370019966122663,1,0.0370019966122662,0.0370019966122662,0.0370019966122662
"TGFB",-1,1,-0.671726509317382,0.671726509317382,-1,0.0370019966122662,-1,1,1,-1,-1,-1,-0.0370019966122663,-1,0.0370019966122662,1,1,1
"VIM",-1,1,-0.671726509317382,0.671726509317382,-1,0.0370019966122662,-1,1,1,-1,-1,-1,-0.0370019966122663,-1,0.0370019966122662,1,1,1
"ZEB1",-1,1,-0.671726509317382,0.671726509317382,-1,0.0370019966122662,-1,1,1,-1,-1,-1,-0.0370019966122663,-1,0.0370019966122662,1,1,1
