"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"CD44s",-1,1,0.00180368055805784,0.0050101167217928,-1,0.00901811593139656,-1,1,1,-1,-1,-1,-1,-1,0.00901834049032397,1,-0.00120240480961924,1
"CDH1",-0.00180368055805784,0.00180368055805784,1,-0.553885002608701,-0.00180368055805784,0.00156533227073012,-0.00180368055805784,0.00180368055805784,0.00180368055805784,-0.00180368055805784,-0.00180368055805784,-0.00180368055805784,-0.00180368055805784,-0.00180368055805784,-0.328206841236453,0.00180368055805784,-0.319652276678028,0.00180368055805784
"EMT",-0.0050101167217928,0.0050101167217928,-0.553885002608701,1,-0.0050101167217928,0.0016293967578178,-0.0050101167217928,0.0050101167217928,0.0050101167217928,-0.0050101167217928,-0.0050101167217928,-0.0050101167217928,-0.0050101167217928,-0.0050101167217928,0.110175241938038,0.0050101167217928,0.217038256388064,0.0050101167217928
"ESRP1",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"EXTGFB",-0.00901811593139656,0.00901811593139656,0.00156533227073012,0.0016293967578178,-0.00901811593139656,1,-0.00901811593139656,0.00901811593139656,0.00901811593139656,-0.00901811593139656,-0.00901811593139656,-0.00901811593139656,-0.00901811593139656,-0.00901811593139656,0.000435398330166913,0.00901811593139656,0.0074148953213705,0.00901811593139656
"GRHL2",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"HA",-1,1,0.00180368055805784,0.0050101167217928,-1,0.00901811593139656,-1,1,1,-1,-1,-1,-1,-1,0.00901834049032397,1,-0.00120240480961924,1
"HAS2",-1,1,0.00180368055805784,0.0050101167217928,-1,0.00901811593139656,-1,1,1,-1,-1,-1,-1,-1,0.00901834049032397,1,-0.00120240480961924,1
"MIR1199",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"MIR190",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"MIR200",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"MIR34",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"MIR340",1,-1,-0.00180368055805784,-0.0050101167217928,1,-0.00901811593139656,1,-1,-1,1,1,1,1,1,-0.00901834049032397,-1,0.00120240480961924,-1
"SNAIL1",-0.00901834049032397,0.00901834049032397,-0.328206841236453,0.110175241938038,-0.00901834049032397,0.000435398330166913,-0.00901834049032397,0.00901834049032397,0.00901834049032397,-0.00901834049032397,-0.00901834049032397,-0.00901834049032397,-0.00901834049032397,-0.00901834049032397,1,0.00901834049032397,0.328868816547148,0.00901834049032397
"TGFB",-1,1,0.00180368055805784,0.0050101167217928,-1,0.00901811593139656,-1,1,1,-1,-1,-1,-1,-1,0.00901834049032397,1,-0.00120240480961924,1
"VIM",0.00120240480961924,-0.00120240480961924,-0.319652276678028,0.217038256388064,0.00120240480961924,0.0074148953213705,0.00120240480961924,-0.00120240480961924,-0.00120240480961924,0.00120240480961924,0.00120240480961924,0.00120240480961924,0.00120240480961924,0.00120240480961924,0.328868816547148,-0.00120240480961924,1,-0.00120240480961924
"ZEB1",-1,1,0.00180368055805784,0.0050101167217928,-1,0.00901811593139656,-1,1,1,-1,-1,-1,-1,-1,0.00901834049032397,1,-0.00120240480961924,1
