"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.674567806207184,-0.671164566867908,1,-0.0721211269577923,1,-1,-1,1,1,0.268072774309505,0.268072774309505,1,-0.268072774309505,-0.268072774309505,-0.675366633308959,-1
"CD44s",-1,1,-0.674567806207184,0.671164566867908,-1,0.0721211269577923,-1,1,1,-1,-1,-0.268072774309505,-0.268072774309505,-1,0.268072774309505,0.268072774309505,0.675366633308959,1
"CDH1",0.674567806207184,-0.674567806207184,1,-0.83488219682377,0.674567806207184,-0.21743195950356,0.674567806207184,-0.674567806207184,-0.674567806207184,0.674567806207184,0.674567806207184,0.593508872695029,0.593508872695029,0.674567806207184,-0.593508872695028,-0.593508872695028,-0.666961913523913,-0.674567806207184
"EMT",-0.671164566867908,0.671164566867908,-0.83488219682377,1,-0.671164566867908,0.220429699055572,-0.671164566867908,0.671164566867908,0.671164566867908,-0.671164566867908,-0.671164566867908,-0.596909501444181,-0.596909501444181,-0.671164566867908,0.596909501444181,0.596909501444181,0.832079739928663,0.671164566867908
"ESRP1",1,-1,0.674567806207184,-0.671164566867908,1,-0.0721211269577923,1,-1,-1,1,1,0.268072774309505,0.268072774309505,1,-0.268072774309505,-0.268072774309505,-0.675366633308959,-1
"EXTGFB",-0.0721211269577923,0.0721211269577923,-0.21743195950356,0.220429699055572,-0.0721211269577923,1,-0.0721211269577923,0.0721211269577923,0.0721211269577923,-0.0721211269577923,-0.0721211269577923,-0.430978577069405,-0.430978577069405,-0.0721211269577923,0.430978577069405,0.430978577069405,0.220616874539107,0.0721211269577923
"GRHL2",1,-1,0.674567806207184,-0.671164566867908,1,-0.0721211269577923,1,-1,-1,1,1,0.268072774309505,0.268072774309505,1,-0.268072774309505,-0.268072774309505,-0.675366633308959,-1
"HA",-1,1,-0.674567806207184,0.671164566867908,-1,0.0721211269577923,-1,1,1,-1,-1,-0.268072774309505,-0.268072774309505,-1,0.268072774309505,0.268072774309505,0.675366633308959,1
"HAS2",-1,1,-0.674567806207184,0.671164566867908,-1,0.0721211269577923,-1,1,1,-1,-1,-0.268072774309505,-0.268072774309505,-1,0.268072774309505,0.268072774309505,0.675366633308959,1
"MIR1199",1,-1,0.674567806207184,-0.671164566867908,1,-0.0721211269577923,1,-1,-1,1,1,0.268072774309505,0.268072774309505,1,-0.268072774309505,-0.268072774309505,-0.675366633308959,-1
"MIR190",1,-1,0.674567806207184,-0.671164566867908,1,-0.0721211269577923,1,-1,-1,1,1,0.268072774309505,0.268072774309505,1,-0.268072774309505,-0.268072774309505,-0.675366633308959,-1
"MIR200",0.268072774309505,-0.268072774309505,0.593508872695029,-0.596909501444181,0.268072774309505,-0.430978577069405,0.268072774309505,-0.268072774309505,-0.268072774309505,0.268072774309505,0.268072774309505,1,1,0.268072774309505,-1,-1,-0.592702253219618,-0.268072774309505
"MIR34",0.268072774309505,-0.268072774309505,0.593508872695029,-0.596909501444181,0.268072774309505,-0.430978577069405,0.268072774309505,-0.268072774309505,-0.268072774309505,0.268072774309505,0.268072774309505,1,1,0.268072774309505,-1,-1,-0.592702253219618,-0.268072774309505
"MIR340",1,-1,0.674567806207184,-0.671164566867908,1,-0.0721211269577923,1,-1,-1,1,1,0.268072774309505,0.268072774309505,1,-0.268072774309505,-0.268072774309505,-0.675366633308959,-1
"SNAIL1",-0.268072774309505,0.268072774309505,-0.593508872695028,0.596909501444181,-0.268072774309505,0.430978577069405,-0.268072774309505,0.268072774309505,0.268072774309505,-0.268072774309505,-0.268072774309505,-1,-1,-0.268072774309505,1,1,0.592702253219618,0.268072774309505
"TGFB",-0.268072774309505,0.268072774309505,-0.593508872695028,0.596909501444181,-0.268072774309505,0.430978577069405,-0.268072774309505,0.268072774309505,0.268072774309505,-0.268072774309505,-0.268072774309505,-1,-1,-0.268072774309505,1,1,0.592702253219618,0.268072774309505
"VIM",-0.675366633308959,0.675366633308959,-0.666961913523913,0.832079739928663,-0.675366633308959,0.220616874539107,-0.675366633308959,0.675366633308959,0.675366633308959,-0.675366633308959,-0.675366633308959,-0.592702253219618,-0.592702253219618,-0.675366633308959,0.592702253219618,0.592702253219618,1,0.675366633308959
"ZEB1",-1,1,-0.674567806207184,0.671164566867908,-1,0.0721211269577923,-1,1,1,-1,-1,-0.268072774309505,-0.268072774309505,-1,0.268072774309505,0.268072774309505,0.675366633308959,1
