"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"CD44s",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
"CDH1",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"EMT",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
"ESRP1",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"EXTGFB",-0.0576292987391479,0.0576292987391479,-0.0576292987391479,0.0576292987391479,-0.0576292987391479,1,-0.0576292987391479,0.0576292987391479,0.0576292987391479,-0.0576292987391479,-0.0576292987391479,-0.0576292987391479,-0.0576292987391479,-0.0576292987391479,0.534098218740812,0.0576292987391479,0.0576292987391479,0.0576292987391479
"GRHL2",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"HA",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
"HAS2",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
"MIR1199",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"MIR190",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"MIR200",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"MIR34",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"MIR340",1,-1,1,-1,1,-0.0576292987391479,1,-1,-1,1,1,1,1,1,-0.523531567724684,-1,-1,-1
"SNAIL1",-0.523531567724684,0.523531567724684,-0.523531567724684,0.523531567724684,-0.523531567724684,0.534098218740812,-0.523531567724684,0.523531567724684,0.523531567724684,-0.523531567724684,-0.523531567724684,-0.523531567724684,-0.523531567724684,-0.523531567724684,1,0.523531567724684,0.523531567724684,0.523531567724684
"TGFB",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
"VIM",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
"ZEB1",-1,1,-1,1,-1,0.0576292987391479,-1,1,1,-1,-1,-1,-1,-1,0.523531567724684,1,1,1
