"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"CD44s",-1,1,-1,1,-1,0.0394047543748303,-1,1,1,-1,-1,-0.374869828871568,-0.374869828871568,-1,0.374869828871568,0.374869828871568,1,1
"CDH1",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"EMT",-1,1,-1,1,-1,0.0394047543748303,-1,1,1,-1,-1,-0.374869828871568,-0.374869828871568,-1,0.374869828871568,0.374869828871568,1,1
"ESRP1",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"EXTGFB",-0.0394047543748303,0.0394047543748303,-0.0394047543748303,0.0394047543748303,-0.0394047543748303,1,-0.0394047543748303,0.0394047543748303,0.0394047543748303,-0.0394047543748303,-0.0394047543748303,-0.130424682019737,-0.130424682019737,-0.0394047543748303,0.130424682019737,0.130424682019737,0.0394047543748303,0.0394047543748303
"GRHL2",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"HA",-1,1,-1,1,-1,0.0394047543748303,-1,1,1,-1,-1,-0.374869828871568,-0.374869828871568,-1,0.374869828871568,0.374869828871568,1,1
"HAS2",-1,1,-1,1,-1,0.0394047543748303,-1,1,1,-1,-1,-0.374869828871568,-0.374869828871568,-1,0.374869828871568,0.374869828871568,1,1
"MIR1199",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"MIR190",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"MIR200",0.374869828871568,-0.374869828871568,0.374869828871568,-0.374869828871568,0.374869828871568,-0.130424682019737,0.374869828871568,-0.374869828871568,-0.374869828871568,0.374869828871568,0.374869828871568,1,1,0.374869828871568,-1,-1,-0.374869828871568,-0.374869828871568
"MIR34",0.374869828871568,-0.374869828871568,0.374869828871568,-0.374869828871568,0.374869828871568,-0.130424682019737,0.374869828871568,-0.374869828871568,-0.374869828871568,0.374869828871568,0.374869828871568,1,1,0.374869828871568,-1,-1,-0.374869828871568,-0.374869828871568
"MIR340",1,-1,1,-1,1,-0.0394047543748303,1,-1,-1,1,1,0.374869828871568,0.374869828871568,1,-0.374869828871568,-0.374869828871568,-1,-1
"SNAIL1",-0.374869828871568,0.374869828871568,-0.374869828871568,0.374869828871568,-0.374869828871568,0.130424682019737,-0.374869828871568,0.374869828871568,0.374869828871568,-0.374869828871568,-0.374869828871568,-1,-1,-0.374869828871568,1,1,0.374869828871568,0.374869828871568
"TGFB",-0.374869828871568,0.374869828871568,-0.374869828871568,0.374869828871568,-0.374869828871568,0.130424682019737,-0.374869828871568,0.374869828871568,0.374869828871568,-0.374869828871568,-0.374869828871568,-1,-1,-0.374869828871568,1,1,0.374869828871568,0.374869828871568
"VIM",-1,1,-1,1,-1,0.0394047543748303,-1,1,1,-1,-1,-0.374869828871568,-0.374869828871568,-1,0.374869828871568,0.374869828871568,1,1
"ZEB1",-1,1,-1,1,-1,0.0394047543748303,-1,1,1,-1,-1,-0.374869828871568,-0.374869828871568,-1,0.374869828871568,0.374869828871568,1,1
