"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"CD44s",-1,1,-0.507657208581314,0.506257135289142,-1,0.0273189928162041,-1,1,1,-1,-1,-1,-1,-1,0.510059807194324,1,1,1
"CDH1",0.507657208581314,-0.507657208581314,1,-0.786048202198839,0.507657208581314,-0.519661767931809,0.507657208581314,-0.507657208581314,-0.507657208581314,0.507657208581314,0.507657208581314,0.507657208581314,0.507657208581314,0.507657208581314,-0.678990411574634,-0.507657208581314,-0.507657208581314,-0.507657208581314
"EMT",-0.506257135289142,0.506257135289142,-0.786048202198839,1,-0.506257135289142,0.521062736961638,-0.506257135289142,0.506257135289142,0.506257135289142,-0.506257135289142,-0.506257135289142,-0.506257135289142,-0.506257135289142,-0.506257135289142,0.57231773983347,0.506257135289142,0.506257135289142,0.506257135289142
"ESRP1",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"EXTGFB",-0.0273189928162041,0.0273189928162041,-0.519661767931809,0.521062736961638,-0.0273189928162041,1,-0.0273189928162041,0.0273189928162041,0.0273189928162041,-0.0273189928162041,-0.0273189928162041,-0.0273189928162041,-0.0273189928162041,-0.0273189928162041,0.517270598319217,0.0273189928162041,0.0273189928162041,0.0273189928162041
"GRHL2",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"HA",-1,1,-0.507657208581314,0.506257135289142,-1,0.0273189928162041,-1,1,1,-1,-1,-1,-1,-1,0.510059807194324,1,1,1
"HAS2",-1,1,-0.507657208581314,0.506257135289142,-1,0.0273189928162041,-1,1,1,-1,-1,-1,-1,-1,0.510059807194324,1,1,1
"MIR1199",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"MIR190",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"MIR200",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"MIR34",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"MIR340",1,-1,0.507657208581314,-0.506257135289142,1,-0.0273189928162041,1,-1,-1,1,1,1,1,1,-0.510059807194324,-1,-1,-1
"SNAIL1",-0.510059807194324,0.510059807194324,-0.678990411574634,0.57231773983347,-0.510059807194324,0.517270598319217,-0.510059807194324,0.510059807194324,0.510059807194324,-0.510059807194324,-0.510059807194324,-0.510059807194324,-0.510059807194324,-0.510059807194324,1,0.510059807194324,0.510059807194324,0.510059807194324
"TGFB",-1,1,-0.507657208581314,0.506257135289142,-1,0.0273189928162041,-1,1,1,-1,-1,-1,-1,-1,0.510059807194324,1,1,1
"VIM",-1,1,-0.507657208581314,0.506257135289142,-1,0.0273189928162041,-1,1,1,-1,-1,-1,-1,-1,0.510059807194324,1,1,1
"ZEB1",-1,1,-0.507657208581314,0.506257135289142,-1,0.0273189928162041,-1,1,1,-1,-1,-1,-1,-1,0.510059807194324,1,1,1
