"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"CD44s",-1,1,-1,1,-1,0.0301052086692282,-1,1,1,-1,-1,-0.512347953941269,-1,-1,0.524158729768403,1,0.513354096660918,1
"CDH1",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"EMT",-1,1,-1,1,-1,0.0301052086692282,-1,1,1,-1,-1,-0.512347953941269,-1,-1,0.524158729768403,1,0.513354096660918,1
"ESRP1",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"EXTGFB",-0.0301052086692282,0.0301052086692282,-0.0301052086692282,0.0301052086692282,-0.0301052086692282,1,-0.0301052086692282,0.0301052086692282,0.0301052086692282,-0.0301052086692282,-0.0301052086692282,-0.517752952530768,-0.0301052086692282,-0.0301052086692282,0.505954085269488,0.0301052086692282,0.51675597248838,0.0301052086692282
"GRHL2",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"HA",-1,1,-1,1,-1,0.0301052086692282,-1,1,1,-1,-1,-0.512347953941269,-1,-1,0.524158729768403,1,0.513354096660918,1
"HAS2",-1,1,-1,1,-1,0.0301052086692282,-1,1,1,-1,-1,-0.512347953941269,-1,-1,0.524158729768403,1,0.513354096660918,1
"MIR1199",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"MIR190",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"MIR200",0.512347953941269,-0.512347953941269,0.512347953941269,-0.512347953941269,0.512347953941269,-0.517752952530768,0.512347953941269,-0.512347953941269,-0.512347953941269,0.512347953941269,0.512347953941269,1,0.512347953941269,0.512347953941269,-0.674429402142649,-0.512347953941269,-0.673237219770882,-0.512347953941269
"MIR34",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"MIR340",1,-1,1,-1,1,-0.0301052086692282,1,-1,-1,1,1,0.512347953941269,1,1,-0.524158729768404,-1,-0.513354096660918,-1
"SNAIL1",-0.524158729768404,0.524158729768403,-0.524158729768404,0.524158729768403,-0.524158729768404,0.505954085269488,-0.524158729768404,0.524158729768403,0.524158729768403,-0.524158729768404,-0.524158729768404,-0.674429402142649,-0.524158729768404,-0.524158729768404,1,0.524158729768403,0.671057002163561,0.524158729768403
"TGFB",-1,1,-1,1,-1,0.0301052086692282,-1,1,1,-1,-1,-0.512347953941269,-1,-1,0.524158729768403,1,0.513354096660918,1
"VIM",-0.513354096660918,0.513354096660918,-0.513354096660918,0.513354096660918,-0.513354096660918,0.51675597248838,-0.513354096660918,0.513354096660918,0.513354096660918,-0.513354096660918,-0.513354096660918,-0.673237219770882,-0.513354096660918,-0.513354096660918,0.671057002163561,0.513354096660918,1,0.513354096660918
"ZEB1",-1,1,-1,1,-1,0.0301052086692282,-1,1,1,-1,-1,-0.512347953941269,-1,-1,0.524158729768403,1,0.513354096660918,1
