"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"CD44s",-1,1,-1,1,-1,0.000214884748981601,-1,1,1,-1,-1,-1,-0.000214884748981601,-1,0.000214884748981601,1,0.000214884748981601,1
"CDH1",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"EMT",-1,1,-1,1,-1,0.000214884748981601,-1,1,1,-1,-1,-1,-0.000214884748981601,-1,0.000214884748981601,1,0.000214884748981601,1
"ESRP1",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"EXTGFB",-0.000214884748981626,0.000214884748981601,-0.000214884748981626,0.000214884748981601,-0.000214884748981626,1,-0.000214884748981626,0.000214884748981601,0.000214884748981601,-0.000214884748981626,-0.000214884748981626,-0.000214884748981626,-1,-0.000214884748981626,1,0.000214884748981601,1,0.000214884748981601
"GRHL2",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"HA",-1,1,-1,1,-1,0.000214884748981601,-1,1,1,-1,-1,-1,-0.000214884748981601,-1,0.000214884748981601,1,0.000214884748981601,1
"HAS2",-1,1,-1,1,-1,0.000214884748981601,-1,1,1,-1,-1,-1,-0.000214884748981601,-1,0.000214884748981601,1,0.000214884748981601,1
"MIR1199",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"MIR190",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"MIR200",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"MIR34",0.000214884748981626,-0.000214884748981601,0.000214884748981626,-0.000214884748981601,0.000214884748981626,-1,0.000214884748981626,-0.000214884748981601,-0.000214884748981601,0.000214884748981626,0.000214884748981626,0.000214884748981626,1,0.000214884748981626,-1,-0.000214884748981601,-1,-0.000214884748981601
"MIR340",1,-1,1,-1,1,-0.000214884748981626,1,-1,-1,1,1,1,0.000214884748981626,1,-0.000214884748981626,-1,-0.000214884748981626,-1
"SNAIL1",-0.000214884748981626,0.000214884748981601,-0.000214884748981626,0.000214884748981601,-0.000214884748981626,1,-0.000214884748981626,0.000214884748981601,0.000214884748981601,-0.000214884748981626,-0.000214884748981626,-0.000214884748981626,-1,-0.000214884748981626,1,0.000214884748981601,1,0.000214884748981601
"TGFB",-1,1,-1,1,-1,0.000214884748981601,-1,1,1,-1,-1,-1,-0.000214884748981601,-1,0.000214884748981601,1,0.000214884748981601,1
"VIM",-0.000214884748981626,0.000214884748981601,-0.000214884748981626,0.000214884748981601,-0.000214884748981626,1,-0.000214884748981626,0.000214884748981601,0.000214884748981601,-0.000214884748981626,-0.000214884748981626,-0.000214884748981626,-1,-0.000214884748981626,1,0.000214884748981601,1,0.000214884748981601
"ZEB1",-1,1,-1,1,-1,0.000214884748981601,-1,1,1,-1,-1,-1,-0.000214884748981601,-1,0.000214884748981601,1,0.000214884748981601,1
