"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","VIM","ZEB1"
"CD24",1,-1,0.402155161960236,-1,1,-0.10163059169678,1,-1,-1,1,1,0.917170452373419,0.702284980427293,1,-0.403355402229639,-0.945780002904423,-1,-1
"CD44s",-1,1,-0.402155161960236,1,-1,0.10163059169678,-1,1,1,-1,-1,-0.917170452373419,-0.702284980427293,-1,0.403355402229639,0.945780002904423,1,1
"CDH1",0.402155161960236,-0.402155161960236,1,-0.402155161960236,0.402155161960236,-0.699471413497675,0.402155161960236,-0.402155161960236,-0.402155161960236,0.402155161960236,0.402155161960236,0.484973836410357,0.699863571405735,0.402155161960236,-0.795509031574661,-0.456366077258795,-0.402155161960236,-0.402155161960236
"EMT",-1,1,-0.402155161960236,1,-1,0.10163059169678,-1,1,1,-1,-1,-0.917170452373419,-0.702284980427293,-1,0.403355402229639,0.945780002904423,1,1
"ESRP1",1,-1,0.402155161960236,-1,1,-0.10163059169678,1,-1,-1,1,1,0.917170452373419,0.702284980427293,1,-0.403355402229639,-0.945780002904423,-1,-1
"EXTGFB",-0.10163059169678,0.10163059169678,-0.699471413497675,0.10163059169678,-0.10163059169678,1,-0.10163059169678,0.10163059169678,0.10163059169678,-0.10163059169678,-0.10163059169678,-0.184451909108506,-0.399339380981701,-0.10163059169678,0.698270929718229,0.155843694166052,0.10163059169678,0.10163059169678
"GRHL2",1,-1,0.402155161960236,-1,1,-0.10163059169678,1,-1,-1,1,1,0.917170452373419,0.702284980427293,1,-0.403355402229639,-0.945780002904423,-1,-1
"HA",-1,1,-0.402155161960236,1,-1,0.10163059169678,-1,1,1,-1,-1,-0.917170452373419,-0.702284980427293,-1,0.403355402229639,0.945780002904423,1,1
"HAS2",-1,1,-0.402155161960236,1,-1,0.10163059169678,-1,1,1,-1,-1,-0.917170452373419,-0.702284980427293,-1,0.403355402229639,0.945780002904423,1,1
"MIR1199",1,-1,0.402155161960236,-1,1,-0.10163059169678,1,-1,-1,1,1,0.917170452373419,0.702284980427293,1,-0.403355402229639,-0.945780002904423,-1,-1
"MIR190",1,-1,0.402155161960236,-1,1,-0.10163059169678,1,-1,-1,1,1,0.917170452373419,0.702284980427293,1,-0.403355402229639,-0.945780002904423,-1,-1
"MIR200",0.917170452373419,-0.917170452373419,0.484973836410357,-0.917170452373419,0.917170452373419,-0.184451909108506,0.917170452373419,-0.917170452373419,-0.917170452373419,0.917170452373419,0.917170452373419,1,0.78510646396663,0.917170452373419,-0.486176203311574,-0.971388303890488,-0.917170452373419,-0.917170452373419
"MIR34",0.702284980427293,-0.702284980427293,0.699863571405735,-0.702284980427293,0.702284980427293,-0.399339380981701,0.702284980427293,-0.702284980427293,-0.702284980427293,0.702284980427293,0.702284980427293,0.78510646396663,1,0.702284980427293,-0.701066385599406,-0.75649748846885,-0.702284980427293,-0.702284980427293
"MIR340",1,-1,0.402155161960236,-1,1,-0.10163059169678,1,-1,-1,1,1,0.917170452373419,0.702284980427293,1,-0.403355402229639,-0.945780002904423,-1,-1
"SNAIL1",-0.403355402229639,0.403355402229639,-0.795509031574661,0.403355402229639,-0.403355402229639,0.698270929718229,-0.403355402229639,0.403355402229639,0.403355402229639,-0.403355402229639,-0.403355402229639,-0.486176203311574,-0.701066385599406,-0.403355402229639,1,0.45756779310173,0.403355402229639,0.403355402229639
"TGFB",-0.945780002904423,0.945780002904423,-0.456366077258795,0.945780002904423,-0.945780002904423,0.155843694166052,-0.945780002904423,0.945780002904423,0.945780002904423,-0.945780002904423,-0.945780002904423,-0.971388303890488,-0.75649748846885,-0.945780002904423,0.45756779310173,1,0.945780002904423,0.945780002904423
"VIM",-1,1,-0.402155161960236,1,-1,0.10163059169678,-1,1,1,-1,-1,-0.917170452373419,-0.702284980427293,-1,0.403355402229639,0.945780002904423,1,1
"ZEB1",-1,1,-0.402155161960236,1,-1,0.10163059169678,-1,1,1,-1,-1,-0.917170452373419,-0.702284980427293,-1,0.403355402229639,0.945780002904423,1,1
