Cycles,Edge_count
ZEB2,1
"SNAI1,GSC,ZEB2",3
"TWIST1,GSC,ZEB2",3
"ZEB1,GSC,ZEB2,miR-205",4
"ZEB1,FOXC2,GSC",3
"SNAI1,FOXC2,GSC",3
"TWIST1,FOXC2,GSC",3
"miR-141,TGF-beta,GSC,ZEB2",4
"SNAI1,TGF-beta,GSC",3
"miR-200a,TGF-beta,GSC,ZEB2",4
"miR-200b,TGF-beta,GSC,ZEB2",4
"miR-200c,TGF-beta,GSC,ZEB2",4
"SNAI1,SNAI2,TGF-beta",3
"miR-30c,SNAI2,TGF-beta,GSC,ZEB2",5
"CDH1,SNAI2,TGF-beta,GSC,ZEB2",5
"VIM,SNAI2,TGF-beta,GSC,ZEB2",5
SNAI2,1
"TWIST2,SNAI2,TGF-beta,GSC,ZEB2",5
"miR-101,SNAI2,TGF-beta,GSC,ZEB2",5
"miR-200b,SNAI2,TGF-beta",3
"TWIST1,SNAI2,TGF-beta,GSC",4
"ZEB1,miR-34a,SNAI2,TGF-beta,GSC",5
"SNAI1,miR-34a,SNAI2",3
"TWIST2,miR-34a,SNAI2",3
"SNAI1,TWIST1,ZEB2",3
"TWIST2,TWIST1,ZEB2",3
"CDH1,TWIST1,ZEB2",3
"VIM,TWIST1,ZEB2",3
"ZEB1,TWIST1,ZEB2,miR-205",4
"CDH1,TCF3,TWIST1",3
"CDH1,miR-9,ZEB2",3
"CDH1,TWIST2,ZEB2",3
"SNAI1,TWIST2,ZEB2",3
"ZEB1,TWIST2,ZEB2,miR-205",4
"SNAI1,miR-30c,ZEB2",3
"ZEB1,miR-141,ZEB2,miR-205",4
"miR-101,SNAI1,ZEB2",3
"CDH1,SNAI1,ZEB2",3
"VIM,SNAI1,ZEB2",3
SNAI1,1
"ZEB1,SNAI1,ZEB2,miR-205",4
"ZEB1,miR-200a,ZEB2,miR-205",4
"ZEB1,miR-200c,ZEB2,miR-205",4
"ZEB1,miR-200b,ZEB2,miR-205",4
"ZEB1,VIM,ZEB2,miR-205",4
"ZEB1,CDH1,ZEB2,miR-205",4
"miR-101,KLF8,CDH1,ZEB2",4
"ZEB1,miR-101,ZEB2,miR-205",4
ZEB1,1
