"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"CD44s",-1,1,-0.169187106541937,0.169187106541937,-1,0.010520925378569,-1,1,1,-1,-0.169187106541937,-1,-1,-0.169187106541937,-1,0.169187106541937,1,0.169187106541937,0.169187106541937,1
"CDH1",0.169187106541937,-0.169187106541937,1,-1,0.169187106541937,-0.165167255208259,0.169187106541937,-0.169187106541937,-0.169187106541937,0.169187106541937,1,0.169187106541937,0.169187106541937,1,0.169187106541937,-1,-0.169187106541937,-1,-1,-0.169187106541937
"EMT",-0.169187106541937,0.169187106541937,-1,1,-0.169187106541937,0.165167255208259,-0.169187106541937,0.169187106541937,0.169187106541937,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1,-0.169187106541937,1,0.169187106541937,1,1,0.169187106541937
"ESRP1",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"EXTGFB",-0.010520925378569,0.010520925378569,-0.165167255208259,0.165167255208259,-0.010520925378569,1,-0.010520925378569,0.010520925378569,0.010520925378569,-0.010520925378569,-0.165167255208259,-0.010520925378569,-0.010520925378569,-0.165167255208259,-0.010520925378569,0.165167255208259,0.010520925378569,0.165167255208259,0.165167255208259,0.010520925378569
"GRHL2",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"HA",-1,1,-0.169187106541937,0.169187106541937,-1,0.010520925378569,-1,1,1,-1,-0.169187106541937,-1,-1,-0.169187106541937,-1,0.169187106541937,1,0.169187106541937,0.169187106541937,1
"HAS2",-1,1,-0.169187106541937,0.169187106541937,-1,0.010520925378569,-1,1,1,-1,-0.169187106541937,-1,-1,-0.169187106541937,-1,0.169187106541937,1,0.169187106541937,0.169187106541937,1
"MIR1199",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"MIR129",0.169187106541937,-0.169187106541937,1,-1,0.169187106541937,-0.165167255208259,0.169187106541937,-0.169187106541937,-0.169187106541937,0.169187106541937,1,0.169187106541937,0.169187106541937,1,0.169187106541937,-1,-0.169187106541937,-1,-1,-0.169187106541937
"MIR190",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"MIR200",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"MIR34",0.169187106541937,-0.169187106541937,1,-1,0.169187106541937,-0.165167255208259,0.169187106541937,-0.169187106541937,-0.169187106541937,0.169187106541937,1,0.169187106541937,0.169187106541937,1,0.169187106541937,-1,-0.169187106541937,-1,-1,-0.169187106541937
"MIR340",1,-1,0.169187106541937,-0.169187106541937,1,-0.010520925378569,1,-1,-1,1,0.169187106541937,1,1,0.169187106541937,1,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1
"SNAIL1",-0.169187106541937,0.169187106541937,-1,1,-0.169187106541937,0.165167255208259,-0.169187106541937,0.169187106541937,0.169187106541937,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1,-0.169187106541937,1,0.169187106541937,1,1,0.169187106541937
"TGFB",-1,1,-0.169187106541937,0.169187106541937,-1,0.010520925378569,-1,1,1,-1,-0.169187106541937,-1,-1,-0.169187106541937,-1,0.169187106541937,1,0.169187106541937,0.169187106541937,1
"TWIST1",-0.169187106541937,0.169187106541937,-1,1,-0.169187106541937,0.165167255208259,-0.169187106541937,0.169187106541937,0.169187106541937,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1,-0.169187106541937,1,0.169187106541937,1,1,0.169187106541937
"VIM",-0.169187106541937,0.169187106541937,-1,1,-0.169187106541937,0.165167255208259,-0.169187106541937,0.169187106541937,0.169187106541937,-0.169187106541937,-1,-0.169187106541937,-0.169187106541937,-1,-0.169187106541937,1,0.169187106541937,1,1,0.169187106541937
"ZEB1",-1,1,-0.169187106541937,0.169187106541937,-1,0.010520925378569,-1,1,1,-1,-0.169187106541937,-1,-1,-0.169187106541937,-1,0.169187106541937,1,0.169187106541937,0.169187106541937,1
