"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"CD44s",-1,1,-0.39289635206793,0.740070095797269,-1,0.05592607452026,-1,1,1,-1,-0.39289635206793,-1,-1,-0.39289635206793,-1,0.39289635206793,1,0.39289635206793,0.740070095797269,1
"CDH1",0.39289635206793,-0.39289635206793,1,-0.652826876382349,0.39289635206793,-0.175587715420903,0.39289635206793,-0.39289635206793,-0.39289635206793,0.39289635206793,1,0.39289635206793,0.39289635206793,1,0.39289635206793,-1,-0.39289635206793,-1,-0.652826876382349,-0.39289635206793
"EMT",-0.740070095797269,0.740070095797269,-0.652826876382349,1,-0.740070095797269,0.105748262752927,-0.740070095797269,0.740070095797269,0.740070095797269,-0.740070095797269,-0.652826876382349,-0.740070095797269,-0.740070095797269,-0.652826876382349,-0.740070095797269,0.652826876382349,0.740070095797269,0.652826876382349,1,0.740070095797269
"ESRP1",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"EXTGFB",-0.05592607452026,0.05592607452026,-0.175587715420903,0.105748262752927,-0.05592607452026,1,-0.05592607452026,0.05592607452026,0.05592607452026,-0.05592607452026,-0.175587715420903,-0.05592607452026,-0.05592607452026,-0.175587715420903,-0.05592607452026,0.175587715420903,0.05592607452026,0.175587715420903,0.105748262752927,0.05592607452026
"GRHL2",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"HA",-1,1,-0.39289635206793,0.740070095797269,-1,0.05592607452026,-1,1,1,-1,-0.39289635206793,-1,-1,-0.39289635206793,-1,0.39289635206793,1,0.39289635206793,0.740070095797269,1
"HAS2",-1,1,-0.39289635206793,0.740070095797269,-1,0.05592607452026,-1,1,1,-1,-0.39289635206793,-1,-1,-0.39289635206793,-1,0.39289635206793,1,0.39289635206793,0.740070095797269,1
"MIR1199",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"MIR129",0.39289635206793,-0.39289635206793,1,-0.652826876382349,0.39289635206793,-0.175587715420903,0.39289635206793,-0.39289635206793,-0.39289635206793,0.39289635206793,1,0.39289635206793,0.39289635206793,1,0.39289635206793,-1,-0.39289635206793,-1,-0.652826876382349,-0.39289635206793
"MIR190",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"MIR200",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"MIR34",0.39289635206793,-0.39289635206793,1,-0.652826876382349,0.39289635206793,-0.175587715420903,0.39289635206793,-0.39289635206793,-0.39289635206793,0.39289635206793,1,0.39289635206793,0.39289635206793,1,0.39289635206793,-1,-0.39289635206793,-1,-0.652826876382349,-0.39289635206793
"MIR340",1,-1,0.39289635206793,-0.740070095797269,1,-0.05592607452026,1,-1,-1,1,0.39289635206793,1,1,0.39289635206793,1,-0.39289635206793,-1,-0.39289635206793,-0.740070095797269,-1
"SNAIL1",-0.39289635206793,0.39289635206793,-1,0.652826876382349,-0.39289635206793,0.175587715420903,-0.39289635206793,0.39289635206793,0.39289635206793,-0.39289635206793,-1,-0.39289635206793,-0.39289635206793,-1,-0.39289635206793,1,0.39289635206793,1,0.652826876382349,0.39289635206793
"TGFB",-1,1,-0.39289635206793,0.740070095797269,-1,0.05592607452026,-1,1,1,-1,-0.39289635206793,-1,-1,-0.39289635206793,-1,0.39289635206793,1,0.39289635206793,0.740070095797269,1
"TWIST1",-0.39289635206793,0.39289635206793,-1,0.652826876382349,-0.39289635206793,0.175587715420903,-0.39289635206793,0.39289635206793,0.39289635206793,-0.39289635206793,-1,-0.39289635206793,-0.39289635206793,-1,-0.39289635206793,1,0.39289635206793,1,0.652826876382349,0.39289635206793
"VIM",-0.740070095797269,0.740070095797269,-0.652826876382349,1,-0.740070095797269,0.105748262752927,-0.740070095797269,0.740070095797269,0.740070095797269,-0.740070095797269,-0.652826876382349,-0.740070095797269,-0.740070095797269,-0.652826876382349,-0.740070095797269,0.652826876382349,0.740070095797269,0.652826876382349,1,0.740070095797269
"ZEB1",-1,1,-0.39289635206793,0.740070095797269,-1,0.05592607452026,-1,1,1,-1,-0.39289635206793,-1,-1,-0.39289635206793,-1,0.39289635206793,1,0.39289635206793,0.740070095797269,1
