"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"CD44s",-1,1,-0.466174904457264,0.466174904457264,-1,-0.00583297421713901,-1,1,1,-1,-0.0820237953653211,-1,-1,-0.466174904457264,-1,0.466174904457264,1,0.0820237953653211,0.466174904457264,1
"CDH1",0.466174904457264,-0.466174904457264,1,-1,0.466174904457264,0.00545529675069748,0.466174904457264,-0.466174904457264,-0.466174904457264,0.466174904457264,0.615844671958702,0.466174904457264,0.466174904457264,1,0.466174904457264,-1,-0.466174904457264,-0.615844671958702,-1,-0.466174904457264
"EMT",-0.466174904457265,0.466174904457264,-1,1,-0.466174904457265,-0.00545529675069748,-0.466174904457265,0.466174904457264,0.466174904457264,-0.466174904457265,-0.615844671958702,-0.466174904457265,-0.466174904457265,-1,-0.466174904457265,1,0.466174904457264,0.615844671958702,1,0.466174904457264
"ESRP1",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"EXTGFB",0.00583297421713901,-0.00583297421713901,0.00545529675069748,-0.00545529675069748,0.00583297421713901,1,0.00583297421713901,-0.00583297421713901,-0.00583297421713901,0.00583297421713901,0.00302212413976277,0.00583297421713901,0.00583297421713901,0.00545529675069748,0.00583297421713901,-0.00545529675069748,-0.00583297421713901,-0.00302212413976277,-0.00545529675069748,-0.00583297421713901
"GRHL2",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"HA",-1,1,-0.466174904457264,0.466174904457264,-1,-0.00583297421713901,-1,1,1,-1,-0.0820237953653211,-1,-1,-0.466174904457264,-1,0.466174904457264,1,0.0820237953653211,0.466174904457264,1
"HAS2",-1,1,-0.466174904457264,0.466174904457264,-1,-0.00583297421713901,-1,1,1,-1,-0.0820237953653211,-1,-1,-0.466174904457264,-1,0.466174904457264,1,0.0820237953653211,0.466174904457264,1
"MIR1199",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"MIR129",0.0820237953653211,-0.0820237953653211,0.615844671958702,-0.615844671958702,0.0820237953653211,0.00302212413976277,0.0820237953653211,-0.0820237953653211,-0.0820237953653211,0.0820237953653211,1,0.0820237953653211,0.0820237953653211,0.615844671958702,0.0820237953653211,-0.615844671958702,-0.0820237953653211,-1,-0.615844671958702,-0.0820237953653211
"MIR190",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"MIR200",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"MIR34",0.466174904457264,-0.466174904457264,1,-1,0.466174904457264,0.00545529675069748,0.466174904457264,-0.466174904457264,-0.466174904457264,0.466174904457264,0.615844671958702,0.466174904457264,0.466174904457264,1,0.466174904457264,-1,-0.466174904457264,-0.615844671958702,-1,-0.466174904457264
"MIR340",1,-1,0.466174904457264,-0.466174904457265,1,0.00583297421713901,1,-1,-1,1,0.0820237953653211,1,1,0.466174904457264,1,-0.466174904457265,-1,-0.0820237953653211,-0.466174904457265,-1
"SNAIL1",-0.466174904457265,0.466174904457264,-1,1,-0.466174904457265,-0.00545529675069748,-0.466174904457265,0.466174904457264,0.466174904457264,-0.466174904457265,-0.615844671958702,-0.466174904457265,-0.466174904457265,-1,-0.466174904457265,1,0.466174904457264,0.615844671958702,1,0.466174904457264
"TGFB",-1,1,-0.466174904457264,0.466174904457264,-1,-0.00583297421713901,-1,1,1,-1,-0.0820237953653211,-1,-1,-0.466174904457264,-1,0.466174904457264,1,0.0820237953653211,0.466174904457264,1
"TWIST1",-0.0820237953653211,0.0820237953653211,-0.615844671958702,0.615844671958702,-0.0820237953653211,-0.00302212413976277,-0.0820237953653211,0.0820237953653211,0.0820237953653211,-0.0820237953653211,-1,-0.0820237953653211,-0.0820237953653211,-0.615844671958702,-0.0820237953653211,0.615844671958702,0.0820237953653211,1,0.615844671958702,0.0820237953653211
"VIM",-0.466174904457265,0.466174904457264,-1,1,-0.466174904457265,-0.00545529675069748,-0.466174904457265,0.466174904457264,0.466174904457264,-0.466174904457265,-0.615844671958702,-0.466174904457265,-0.466174904457265,-1,-0.466174904457265,1,0.466174904457264,0.615844671958702,1,0.466174904457264
"ZEB1",-1,1,-0.466174904457264,0.466174904457264,-1,-0.00583297421713901,-1,1,1,-1,-0.0820237953653211,-1,-1,-0.466174904457264,-1,0.466174904457264,1,0.0820237953653211,0.466174904457264,1
