"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.303144018892668,-1,1,-0.0548138156124035,1,-1,-1,1,0.303144018892668,1,0.303144018892668,0.303144018892668,1,-0.303144018892668,-0.544028681576216,-0.303144018892668,-1,-1
"CD44s",-1,1,-0.303144018892668,1,-1,0.0548138156124035,-1,1,1,-1,-0.303144018892668,-1,-0.303144018892668,-0.303144018892668,-1,0.303144018892668,0.544028681576216,0.303144018892668,1,1
"CDH1",0.303144018892668,-0.303144018892668,1,-0.303144018892668,0.303144018892668,-0.422371347529913,0.303144018892668,-0.303144018892668,-0.303144018892668,0.303144018892668,1,0.303144018892668,1,1,0.303144018892668,-1,-0.759106166953791,-1,-0.303144018892668,-0.303144018892668
"EMT",-1,1,-0.303144018892668,1,-1,0.0548138156124035,-1,1,1,-1,-0.303144018892668,-1,-0.303144018892668,-0.303144018892668,-1,0.303144018892668,0.544028681576216,0.303144018892668,1,1
"ESRP1",1,-1,0.303144018892668,-1,1,-0.0548138156124035,1,-1,-1,1,0.303144018892668,1,0.303144018892668,0.303144018892668,1,-0.303144018892668,-0.544028681576216,-0.303144018892668,-1,-1
"EXTGFB",-0.0548138156124035,0.0548138156124035,-0.422371347529913,0.0548138156124035,-0.0548138156124035,1,-0.0548138156124035,0.0548138156124035,0.0548138156124035,-0.0548138156124035,-0.422371347529913,-0.0548138156124035,-0.422371347529913,-0.422371347529913,-0.0548138156124035,0.422371347529913,0.181471609647629,0.422371347529913,0.0548138156124035,0.0548138156124035
"GRHL2",1,-1,0.303144018892668,-1,1,-0.0548138156124035,1,-1,-1,1,0.303144018892668,1,0.303144018892668,0.303144018892668,1,-0.303144018892668,-0.544028681576216,-0.303144018892668,-1,-1
"HA",-1,1,-0.303144018892668,1,-1,0.0548138156124035,-1,1,1,-1,-0.303144018892668,-1,-0.303144018892668,-0.303144018892668,-1,0.303144018892668,0.544028681576216,0.303144018892668,1,1
"HAS2",-1,1,-0.303144018892668,1,-1,0.0548138156124035,-1,1,1,-1,-0.303144018892668,-1,-0.303144018892668,-0.303144018892668,-1,0.303144018892668,0.544028681576216,0.303144018892668,1,1
"MIR1199",1,-1,0.303144018892668,-1,1,-0.0548138156124035,1,-1,-1,1,0.303144018892668,1,0.303144018892668,0.303144018892668,1,-0.303144018892668,-0.544028681576216,-0.303144018892668,-1,-1
"MIR129",0.303144018892668,-0.303144018892668,1,-0.303144018892668,0.303144018892668,-0.422371347529913,0.303144018892668,-0.303144018892668,-0.303144018892668,0.303144018892668,1,0.303144018892668,1,1,0.303144018892668,-1,-0.759106166953791,-1,-0.303144018892668,-0.303144018892668
"MIR190",1,-1,0.303144018892668,-1,1,-0.0548138156124035,1,-1,-1,1,0.303144018892668,1,0.303144018892668,0.303144018892668,1,-0.303144018892668,-0.544028681576216,-0.303144018892668,-1,-1
"MIR200",0.303144018892668,-0.303144018892668,1,-0.303144018892668,0.303144018892668,-0.422371347529913,0.303144018892668,-0.303144018892668,-0.303144018892668,0.303144018892668,1,0.303144018892668,1,1,0.303144018892668,-1,-0.759106166953791,-1,-0.303144018892668,-0.303144018892668
"MIR34",0.303144018892668,-0.303144018892668,1,-0.303144018892668,0.303144018892668,-0.422371347529913,0.303144018892668,-0.303144018892668,-0.303144018892668,0.303144018892668,1,0.303144018892668,1,1,0.303144018892668,-1,-0.759106166953791,-1,-0.303144018892668,-0.303144018892668
"MIR340",1,-1,0.303144018892668,-1,1,-0.0548138156124035,1,-1,-1,1,0.303144018892668,1,0.303144018892668,0.303144018892668,1,-0.303144018892668,-0.544028681576216,-0.303144018892668,-1,-1
"SNAIL1",-0.303144018892668,0.303144018892668,-1,0.303144018892668,-0.303144018892668,0.422371347529913,-0.303144018892668,0.303144018892668,0.303144018892668,-0.303144018892668,-1,-0.303144018892668,-1,-1,-0.303144018892668,1,0.759106166953791,1,0.303144018892668,0.303144018892668
"TGFB",-0.544028681576216,0.544028681576216,-0.759106166953791,0.544028681576216,-0.544028681576216,0.181471609647629,-0.544028681576216,0.544028681576216,0.544028681576216,-0.544028681576216,-0.759106166953791,-0.544028681576216,-0.759106166953791,-0.759106166953791,-0.544028681576216,0.759106166953791,1,0.759106166953791,0.544028681576216,0.544028681576216
"TWIST1",-0.303144018892668,0.303144018892668,-1,0.303144018892668,-0.303144018892668,0.422371347529913,-0.303144018892668,0.303144018892668,0.303144018892668,-0.303144018892668,-1,-0.303144018892668,-1,-1,-0.303144018892668,1,0.759106166953791,1,0.303144018892668,0.303144018892668
"VIM",-1,1,-0.303144018892668,1,-1,0.0548138156124035,-1,1,1,-1,-0.303144018892668,-1,-0.303144018892668,-0.303144018892668,-1,0.303144018892668,0.544028681576216,0.303144018892668,1,1
"ZEB1",-1,1,-0.303144018892668,1,-1,0.0548138156124035,-1,1,1,-1,-0.303144018892668,-1,-0.303144018892668,-0.303144018892668,-1,0.303144018892668,0.544028681576216,0.303144018892668,1,1
