"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.30965524034862,-1,1,-0.00489378213884159,1,-1,-1,1,0.30965524034862,1,0.30965524034862,0.30965524034862,1,-0.30965524034862,-0.30965524034862,-0.30965524034862,-1,-1
"CD44s",-1,1,-0.30965524034862,1,-1,0.00489378213884161,-1,1,1,-1,-0.30965524034862,-1,-0.30965524034862,-0.30965524034862,-1,0.30965524034862,0.30965524034862,0.30965524034862,1,1
"CDH1",0.30965524034862,-0.30965524034862,1,-0.30965524034862,0.30965524034862,0.000892916251321,0.30965524034862,-0.30965524034862,-0.30965524034862,0.30965524034862,1,0.30965524034862,1,1,0.30965524034862,-1,-1,-1,-0.30965524034862,-0.30965524034862
"EMT",-1,1,-0.30965524034862,1,-1,0.00489378213884161,-1,1,1,-1,-0.30965524034862,-1,-0.30965524034862,-0.30965524034862,-1,0.30965524034862,0.30965524034862,0.30965524034862,1,1
"ESRP1",1,-1,0.30965524034862,-1,1,-0.00489378213884159,1,-1,-1,1,0.30965524034862,1,0.30965524034862,0.30965524034862,1,-0.30965524034862,-0.30965524034862,-0.30965524034862,-1,-1
"EXTGFB",-0.00489378213884159,0.00489378213884161,0.000892916251321,0.00489378213884161,-0.00489378213884159,1,-0.00489378213884159,0.00489378213884161,0.00489378213884161,-0.00489378213884159,0.000892916251321,-0.00489378213884159,0.000892916251321,0.000892916251321,-0.00489378213884159,-0.000892916251321,-0.000892916251321,-0.000892916251321,0.00489378213884161,0.00489378213884161
"GRHL2",1,-1,0.30965524034862,-1,1,-0.00489378213884159,1,-1,-1,1,0.30965524034862,1,0.30965524034862,0.30965524034862,1,-0.30965524034862,-0.30965524034862,-0.30965524034862,-1,-1
"HA",-1,1,-0.30965524034862,1,-1,0.00489378213884161,-1,1,1,-1,-0.30965524034862,-1,-0.30965524034862,-0.30965524034862,-1,0.30965524034862,0.30965524034862,0.30965524034862,1,1
"HAS2",-1,1,-0.30965524034862,1,-1,0.00489378213884161,-1,1,1,-1,-0.30965524034862,-1,-0.30965524034862,-0.30965524034862,-1,0.30965524034862,0.30965524034862,0.30965524034862,1,1
"MIR1199",1,-1,0.30965524034862,-1,1,-0.00489378213884159,1,-1,-1,1,0.30965524034862,1,0.30965524034862,0.30965524034862,1,-0.30965524034862,-0.30965524034862,-0.30965524034862,-1,-1
"MIR129",0.30965524034862,-0.30965524034862,1,-0.30965524034862,0.30965524034862,0.000892916251321,0.30965524034862,-0.30965524034862,-0.30965524034862,0.30965524034862,1,0.30965524034862,1,1,0.30965524034862,-1,-1,-1,-0.30965524034862,-0.30965524034862
"MIR190",1,-1,0.30965524034862,-1,1,-0.00489378213884159,1,-1,-1,1,0.30965524034862,1,0.30965524034862,0.30965524034862,1,-0.30965524034862,-0.30965524034862,-0.30965524034862,-1,-1
"MIR200",0.30965524034862,-0.30965524034862,1,-0.30965524034862,0.30965524034862,0.000892916251321,0.30965524034862,-0.30965524034862,-0.30965524034862,0.30965524034862,1,0.30965524034862,1,1,0.30965524034862,-1,-1,-1,-0.30965524034862,-0.30965524034862
"MIR34",0.30965524034862,-0.30965524034862,1,-0.30965524034862,0.30965524034862,0.000892916251321,0.30965524034862,-0.30965524034862,-0.30965524034862,0.30965524034862,1,0.30965524034862,1,1,0.30965524034862,-1,-1,-1,-0.30965524034862,-0.30965524034862
"MIR340",1,-1,0.30965524034862,-1,1,-0.00489378213884159,1,-1,-1,1,0.30965524034862,1,0.30965524034862,0.30965524034862,1,-0.30965524034862,-0.30965524034862,-0.30965524034862,-1,-1
"SNAIL1",-0.30965524034862,0.30965524034862,-1,0.30965524034862,-0.30965524034862,-0.000892916251321,-0.30965524034862,0.30965524034862,0.30965524034862,-0.30965524034862,-1,-0.30965524034862,-1,-1,-0.30965524034862,1,1,1,0.30965524034862,0.30965524034862
"TGFB",-0.30965524034862,0.30965524034862,-1,0.30965524034862,-0.30965524034862,-0.000892916251321,-0.30965524034862,0.30965524034862,0.30965524034862,-0.30965524034862,-1,-0.30965524034862,-1,-1,-0.30965524034862,1,1,1,0.30965524034862,0.30965524034862
"TWIST1",-0.30965524034862,0.30965524034862,-1,0.30965524034862,-0.30965524034862,-0.000892916251321,-0.30965524034862,0.30965524034862,0.30965524034862,-0.30965524034862,-1,-0.30965524034862,-1,-1,-0.30965524034862,1,1,1,0.30965524034862,0.30965524034862
"VIM",-1,1,-0.30965524034862,1,-1,0.00489378213884161,-1,1,1,-1,-0.30965524034862,-1,-0.30965524034862,-0.30965524034862,-1,0.30965524034862,0.30965524034862,0.30965524034862,1,1
"ZEB1",-1,1,-0.30965524034862,1,-1,0.00489378213884161,-1,1,1,-1,-0.30965524034862,-1,-0.30965524034862,-0.30965524034862,-1,0.30965524034862,0.30965524034862,0.30965524034862,1,1
