"","CD24","CD44s","CDH1","EMT","ESRP1","EXTGFB","GRHL2","HA","HAS2","MIR1199","MIR129","MIR190","MIR200","MIR34","MIR340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"CD24",1,-1,0.642510287808083,-0.642510287808083,1,-0.0993532149670538,1,-1,-1,1,0.642510287808083,1,0.642510287808083,0.642510287808083,1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1
"CD44s",-1,1,-0.642510287808083,0.642510287808083,-1,0.0993532149670538,-1,1,1,-1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1,0.642510287808083,1,0.642510287808083,0.642510287808083,1
"CDH1",0.642510287808083,-0.642510287808083,1,-1,0.642510287808083,-0.456821217760538,0.642510287808083,-0.642510287808083,-0.642510287808083,0.642510287808083,1,0.642510287808083,1,1,0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083
"EMT",-0.642510287808083,0.642510287808083,-1,1,-0.642510287808083,0.456821217760538,-0.642510287808083,0.642510287808083,0.642510287808083,-0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083,1,0.642510287808083,1,1,0.642510287808083
"ESRP1",1,-1,0.642510287808083,-0.642510287808083,1,-0.0993532149670538,1,-1,-1,1,0.642510287808083,1,0.642510287808083,0.642510287808083,1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1
"EXTGFB",-0.0993532149670538,0.0993532149670538,-0.456821217760538,0.456821217760538,-0.0993532149670538,1,-0.0993532149670538,0.0993532149670538,0.0993532149670538,-0.0993532149670538,-0.456821217760538,-0.0993532149670538,-0.456821217760538,-0.456821217760538,-0.0993532149670538,0.456821217760538,0.0993532149670538,0.456821217760538,0.456821217760538,0.0993532149670538
"GRHL2",1,-1,0.642510287808083,-0.642510287808083,1,-0.0993532149670538,1,-1,-1,1,0.642510287808083,1,0.642510287808083,0.642510287808083,1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1
"HA",-1,1,-0.642510287808083,0.642510287808083,-1,0.0993532149670538,-1,1,1,-1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1,0.642510287808083,1,0.642510287808083,0.642510287808083,1
"HAS2",-1,1,-0.642510287808083,0.642510287808083,-1,0.0993532149670538,-1,1,1,-1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1,0.642510287808083,1,0.642510287808083,0.642510287808083,1
"MIR1199",1,-1,0.642510287808083,-0.642510287808083,1,-0.0993532149670538,1,-1,-1,1,0.642510287808083,1,0.642510287808083,0.642510287808083,1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1
"MIR129",0.642510287808083,-0.642510287808083,1,-1,0.642510287808083,-0.456821217760538,0.642510287808083,-0.642510287808083,-0.642510287808083,0.642510287808083,1,0.642510287808083,1,1,0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083
"MIR190",1,-1,0.642510287808083,-0.642510287808083,1,-0.0993532149670538,1,-1,-1,1,0.642510287808083,1,0.642510287808083,0.642510287808083,1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1
"MIR200",0.642510287808083,-0.642510287808083,1,-1,0.642510287808083,-0.456821217760538,0.642510287808083,-0.642510287808083,-0.642510287808083,0.642510287808083,1,0.642510287808083,1,1,0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083
"MIR34",0.642510287808083,-0.642510287808083,1,-1,0.642510287808083,-0.456821217760538,0.642510287808083,-0.642510287808083,-0.642510287808083,0.642510287808083,1,0.642510287808083,1,1,0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083
"MIR340",1,-1,0.642510287808083,-0.642510287808083,1,-0.0993532149670538,1,-1,-1,1,0.642510287808083,1,0.642510287808083,0.642510287808083,1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1
"SNAIL1",-0.642510287808083,0.642510287808083,-1,1,-0.642510287808083,0.456821217760538,-0.642510287808083,0.642510287808083,0.642510287808083,-0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083,1,0.642510287808083,1,1,0.642510287808083
"TGFB",-1,1,-0.642510287808083,0.642510287808083,-1,0.0993532149670538,-1,1,1,-1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1,0.642510287808083,1,0.642510287808083,0.642510287808083,1
"TWIST1",-0.642510287808083,0.642510287808083,-1,1,-0.642510287808083,0.456821217760538,-0.642510287808083,0.642510287808083,0.642510287808083,-0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083,1,0.642510287808083,1,1,0.642510287808083
"VIM",-0.642510287808083,0.642510287808083,-1,1,-0.642510287808083,0.456821217760538,-0.642510287808083,0.642510287808083,0.642510287808083,-0.642510287808083,-1,-0.642510287808083,-1,-1,-0.642510287808083,1,0.642510287808083,1,1,0.642510287808083
"ZEB1",-1,1,-0.642510287808083,0.642510287808083,-1,0.0993532149670538,-1,1,1,-1,-0.642510287808083,-1,-0.642510287808083,-0.642510287808083,-1,0.642510287808083,1,0.642510287808083,0.642510287808083,1
