"Network","JSD"
"rand_1",0.5
"rand_10",0.5
"rand_100",0.5
"rand_11",0.226432790628202
"rand_12",0.5
"rand_13",0.5
"rand_14",0.5
"rand_15",0.5
"rand_16",0.122234273119457
"rand_17",0.5
"rand_18",0.5
"rand_19",0.000778025577907295
"rand_2",0.5
"rand_20",0.174456164193361
"rand_21",0.5
"rand_22",0.5
"rand_23",0.00290684605753827
"rand_24",0.00429506702515277
"rand_25",0.5
"rand_26",0.5
"rand_27",0.117851247921787
"rand_28",0.5
"rand_29",0.103203460452386
"rand_3",0.000535308015990127
"rand_30",0.5
"rand_31",0.5
"rand_32",0.395991345495455
"rand_33",6.76170652156505e-05
"rand_34",0.5
"rand_35",0.5
"rand_36",0.000855302253021018
"rand_37",0.620575488272588
"rand_38",0.00185928172258336
"rand_39",0.5
"rand_4",0.5
"rand_40",0.5
"rand_41",0.618858656033975
"rand_42",0.403810625152
"rand_43",0.5
"rand_44",0.5
"rand_45",0.5
"rand_46",1
"rand_47",2.34478397837263e-06
"rand_48",8.63317450662559e-06
"rand_49",0.5
"rand_5",0.5
"rand_50",0.5
"rand_51",0.5
"rand_52",0.5
"rand_53",7.24864545239193e-05
"rand_54",0.226441955608967
"rand_55",0.00120376119781774
"rand_56",0.5
"rand_57",8.80846950181446e-05
"rand_58",0.000210290203852639
"rand_59",0.5
"rand_6",0.00194747811086034
"rand_60",0.5
"rand_61",0.5
"rand_62",0.613888704615679
"rand_63",0.5
"rand_64",0.226433240074196
"rand_65",0.18358411508146
"rand_66",0.329521392128759
"rand_67",0.00834176745452065
"rand_68",0.00178132591448146
"rand_69",0.5
"rand_7",0.5
"rand_70",0.5
"rand_71",0.433431654314943
"rand_72",0.5
"rand_73",0.5
"rand_74",0.00919464381790876
"rand_75",0.5
"rand_76",0.5
"rand_77",0.5
"rand_78",0.5
"rand_79",1.68109166890022e-05
"rand_8",0.00030440785466516
"rand_80",0.000810286964970063
"rand_81",0.5
"rand_82",3.82820172657658e-05
"rand_83",0.118386053726988
"rand_84",0.5
"rand_85",0.5
"rand_86",0.5
"rand_87",0.5
"rand_88",0.5
"rand_89",0.5
"rand_9",0.410404204747844
"rand_90",0.5
"rand_91",0.5
"rand_92",5.20667204033573e-05
"rand_93",0.00010811660057449
"rand_94",0.5
"rand_95",0.5
"rand_96",0.5
"rand_97",0.5
"rand_98",0.5
"rand_99",0.00177136755119357
