"EdgeList","Nature","Cycles","Edge_count"
"ZEB,miR200;OCT4,miR200;OCT4,miR145;miR145,ZEB","N","ZEB,miR200,OCT4,miR145",4
"miR200,ZEB;OCT4,miR200;OCT4,miR145;miR145,ZEB","N","ZEB,miR200,OCT4,miR145",4
"ZEB,miR200;OCT4,miR200;miR145,OCT4;miR145,ZEB","N","ZEB,miR200,OCT4,miR145",4
"miR200,ZEB;OCT4,miR200;miR145,OCT4;miR145,ZEB","N","ZEB,miR200,OCT4,miR145",4
"ZEB,miR200;OCT4,miR200;OCT4,miR145;ZEB,miR145","N","ZEB,miR200,OCT4,miR145",4
"miR200,ZEB;OCT4,miR200;OCT4,miR145;ZEB,miR145","N","ZEB,miR200,OCT4,miR145",4
"ZEB,miR200;OCT4,miR200;miR145,OCT4;ZEB,miR145","N","ZEB,miR200,OCT4,miR145",4
"miR200,ZEB;OCT4,miR200;miR145,OCT4;ZEB,miR145","N","ZEB,miR200,OCT4,miR145",4
"SNAIL,ZEB;SNAIL,miR200;miR200,ZEB","N","ZEB,SNAIL,miR200",3
"SNAIL,ZEB;SNAIL,miR200;ZEB,miR200","N","ZEB,SNAIL,miR200",3
"ZEB,ZEB","N","ZEB",1
