"","GRHL2","OVOL2","miR200","ZEB"
"miR200",0.276254470787039,0.135613014436544,0.135613014436544,-0.275890834423402
"OVOL2",0.083552711677591,-0.0352155168450576,-0.0352155168450576,-0.0827397035475097
"ZEB",-0.275890834423402,-0.134938857133173,-0.134938857133173,0.176181201801259
"GRHL2",-0.276254470787039,-0.135613014436544,-0.135613014436544,0.275890834423402
