"","GRHL2","miR200","OVOL2","ZEB"
"miR200",0.66682521336647,0.568651054827525,0.316116824352119,-0.705139262953246
"GRHL2",0.66682521336647,0.568651054827525,0.316116824352119,-0.705139262953246
"OVOL2",0.346364600288016,0.31989430012018,0.0831316653737807,-0.36349689888373
"ZEB",-0.705139262953246,-0.599764435828547,-0.332357886660597,0.639011248813618
