"","ZEB","SNAIL","OVOL2","miR200","GRHL2"
"ZEB",0.1,0,0,0,-0.1
"SNAIL",0.416759880493223,0,-0.206703519008306,-0.306703519008306,-0.448475651723726
"OVOL2",0,0,0,0,0.1
"miR200",-0.1,0,0.1,0.1,0.2
"GRHL2",-0.1,0,0.1,0.1,0.2
