"","GRHL2","OVOL2","miR200","ZEB"
"miR200",0.2,0.1,0.1,-0.1
"GRHL2",0.2,0.1,0.1,-0.1
"OVOL2",0.1,0,0,0
"ZEB",-0.1,0,0,0.1
