"","GRHL2","OVOL2","miR200","ZEB"
"GRHL2",0.331228722258134,0.16,0.16,-0.333046904076316
"OVOL2",0.194157237175733,0.0128606976291629,0.0128606976291629,-0.194970245305815
"ZEB",-0.333046904076316,-0.160674157303371,-0.160674157303371,0.234170499581934
"miR200",-0.331228722258134,-0.16,-0.16,0.333046904076316
