"","GRHL2","OVOL2","miR200","ZEB"
"GRHL2",0.603230086495298,0.261718996466046,0.261718996466046,-0.628324664048892
"OVOL2",0.261718996466046,0.0299151095473937,0.0299151095473937,-0.26934670815254
"miR200",0,0,0,0
"ZEB",-0.628324664048892,-0.26934670815254,-0.26934670815254,0.551108053498948
