"","GRHL2","OVOL2","miR200","ZEB"
"miR200",0.331228722258134,0.16,0.16,-0.333046904076316
"GRHL2",0.331228722258134,0.16,0.16,-0.333046904076316
"OVOL2",-0.194157237175733,-0.141719143789955,-0.141719143789955,0.194970245305815
"ZEB",-0.333046904076316,-0.160674157303371,-0.160674157303371,0.234170499581934
