"","miR200","GRHL2","OVOL2","ZEB"
"miR200",0.9,0.9,0,-1
"GRHL2",0.9,0.9,0,-1
"OVOL2",0.05234375,0.166508697668023,0,-0.176968130708101
"ZEB",-1,-1,0,1
