"","ZEB","SNAIL","OVOL2","miR200","GRHL2"
"ZEB",1,0,0,-1,-1
"SNAIL",1,0,0,-1,-0.9
"OVOL2",-0.176968130708101,0,0,0.05234375,0.166508697668023
"miR200",-1,0,0,0.9,0.9
"GRHL2",-1,0,0,0.9,0.9
