"","ZEB","SNAIL","miR200","GRHL2"
"ZEB",0.5,0,-0.5,-0.5
"SNAIL",1,0,-1,-0.9
"miR200",-0.5,0,0.5,0.5
"GRHL2",-0.5,0,0.5,0.5
