"","ZEB","SNAIL","miR200","GRHL2"
"ZEB",1,0,-1,-1
"SNAIL",0.9,0,-0.9,-0.8
"miR200",-1,0,0.9,0.9
"GRHL2",-1,0,0.9,0.9
