"","GRHL2","ZEB","miR200"
"miR200",0.271272994491369,-0.271566249623334,-0.271272994491369
"GRHL2",0.271272994491369,-0.271566249623334,-0.271272994491369
"ZEB",-0.271566249623334,0.171712662507667,0.271566249623334
