"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0291120611848518,0.441635176675152,-1,-0.153351645462884
"SNAIL",0.0291120611848518,1,0.207351968945186,-0.0291120611848518,-0.495631732440739
"ZEB",0.441635176675152,0.207351968945186,1,-0.441635176675152,-0.711713375519318
"miR145",-1,-0.0291120611848518,-0.441635176675152,1,0.153351645462884
"miR200",-0.153351645462884,-0.495631732440739,-0.711713375519318,0.153351645462884,1
