"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0398087418402992,0.0398087418402992,-1,-0.0398087418402992
"SNAIL",0.0398087418402992,1,1,-0.0398087418402992,-1
"ZEB",0.0398087418402992,1,1,-0.0398087418402992,-1
"miR145",-1,-0.0398087418402992,-0.0398087418402992,1,0.0398087418402992
"miR200",-0.0398087418402992,-1,-1,0.0398087418402992,1
