"Net","JSD"
"miR145_OCT4_2_0",1
"miR145_ZEB_2_0",1
"miR200_ZEB_2_0",1
"OCT4_miR145_2_0",1
"OCT4_miR200_1_0",1
"SNAIL_miR200_2_0",1
"SNAIL_ZEB_1_0",1
"wild",1
"ZEB_miR145_2_0",1
"ZEB_miR200_2_0",1
"ZEB_ZEB_1_0",1
