"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.00110351520507743,-0.0385770489644485,-0.410084827135282,0.438910479543175
"SNAIL",0.00110351520507743,1,0.159584103853842,-0.0939492812629108,-0.559982076390644
"ZEB",-0.0385770489644485,0.159584103853842,1,-0.551364566219025,-0.59963164778532
"miR145",-0.410084827135282,-0.0939492812629108,-0.551364566219025,1,0.150992705915826
"miR200",0.438910479543175,-0.559982076390644,-0.59963164778532,0.150992705915826,1
