"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.037511170306106,0.460875533453958,-1,0.389018496242645
"SNAIL",0.037511170306106,1,0.239046372358257,-0.037511170306106,-0.57349466982822
"ZEB",0.460875533453958,0.239046372358257,1,-0.460875533453958,-0.15011632190045
"miR145",-1,-0.037511170306106,-0.460875533453958,1,-0.389018496242645
"miR200",0.389018496242645,-0.57349466982822,-0.15011632190045,-0.389018496242645,1
