"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0327908229123582,0.365137501090644,-1,0.227303599666133
"SNAIL",0.0327908229123582,1,0.147446936060891,-0.0327908229123581,-0.739896362138665
"ZEB",0.365137501090644,0.147446936060891,1,-0.365137501090644,-0.407559671666926
"miR145",-1,-0.0327908229123581,-0.365137501090644,1,-0.227303599666133
"miR200",0.227303599666133,-0.739896362138665,-0.407559671666926,-0.227303599666133,1
