"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0042018422301159,0.455186670510273,-1,0.250700218790085
"SNAIL",0.0042018422301159,1,0.0392152631894929,-0.00420184223011586,-0.745111145774733
"ZEB",0.455186670510273,0.0392152631894929,1,-0.455186670510273,-0.294106013980763
"miR145",-1,-0.00420184223011586,-0.455186670510273,1,-0.250700218790085
"miR200",0.250700218790085,-0.745111145774733,-0.294106013980763,-0.250700218790085,1
