"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0259143475178894,0.352876867442839,-1,0.128373869470318
"SNAIL",0.0259143475178894,1,0.119959670032999,-0.0259143475178894,-0.0969616904795075
"ZEB",0.352876867442839,0.119959670032999,1,-0.352876867442839,-0.518774624154125
"miR145",-1,-0.0259143475178894,-0.352876867442839,1,-0.128373869470318
"miR200",0.128373869470318,-0.0969616904795075,-0.518774624154125,-0.128373869470318,1
