"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,-0.00361158436963926,0.113434246805681,-1,0.367251761867843
"SNAIL",-0.00361158436963926,1,0.15563529129087,0.0036115843696392,-0.636354381653693
"ZEB",0.113434246805681,0.15563529129087,1,-0.113434246805681,-0.519303817461595
"miR145",-1,0.0036115843696392,-0.113434246805681,1,-0.367251761867843
"miR200",0.367251761867843,-0.636354381653693,-0.519303817461595,-0.367251761867843,1
