"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.044700298529047,0.623561768902475,-1,-0.044700298529047
"SNAIL",0.044700298529047,1,0.421140952688101,-0.044700298529047,-1
"ZEB",0.623561768902475,0.421140952688101,1,-0.623561768902475,-0.421140952688101
"miR145",-1,-0.044700298529047,-0.623561768902475,1,0.044700298529047
"miR200",-0.044700298529047,-1,-0.421140952688101,0.044700298529047,1
