"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0553205171083478,-0.209362287228705,-1,0.209362287228705
"SNAIL",0.0553205171083478,1,0.735324429437669,-0.0553205171083478,-0.735324429437668
"ZEB",-0.209362287228705,0.735324429437669,1,0.209362287228705,-1
"miR145",-1,-0.0553205171083478,0.209362287228705,1,-0.209362287228705
"miR200",0.209362287228705,-0.735324429437668,-1,-0.209362287228705,1
