"posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency","Net"
3,1.66666666666667,4,1,1,"miR145_OCT4_2_0"
7,2.66666666666667,4,1,1,"miR145_OCT4_2_1"
3,1.66666666666667,4,1,1,"miR145_ZEB_2_0"
7,2.66666666666667,4,1,1,"miR145_ZEB_2_1"
2,1.33333333333333,4,1,1,"miR200_ZEB_2_0"
6,2.33333333333333,5,1.33333333333333,2,"miR200_ZEB_2_1"
3,1.66666666666667,4,1,1,"OCT4_miR145_2_0"
7,2.66666666666667,4,1,1,"OCT4_miR145_2_1"
3,1.66666666666667,0,0,0,"OCT4_miR200_1_0"
11,3.66666666666667,0,0,0,"OCT4_miR200_1_2"
1,1,8,2,1,"SNAIL_miR200_2_0"
1,1,10,2.66666666666667,3,"SNAIL_miR200_2_1"
1,1,8,2,1,"SNAIL_ZEB_1_0"
1,1,10,2.66666666666667,3,"SNAIL_ZEB_1_2"
3,1.66666666666667,8,2,1,"wild"
3,1.66666666666667,4,1,1,"ZEB_miR145_2_0"
7,2.66666666666667,4,1,1,"ZEB_miR145_2_1"
2,1.33333333333333,4,1,1,"ZEB_miR200_2_0"
6,2.33333333333333,5,1.33333333333333,2,"ZEB_miR200_2_1"
2,0.666666666666667,8,2,1,"ZEB_ZEB_1_0"
2,0.666666666666667,9,3,2,"ZEB_ZEB_1_2"
