"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.114710578122055,1,-1,-0.114710578122055
"SNAIL",0.114710578122055,1,0.114710578122055,-0.114710578122055,-1
"ZEB",1,0.114710578122055,1,-1,-0.114710578122055
"miR145",-1,-0.114710578122055,-1,1,0.114710578122055
"miR200",-0.114710578122055,-1,-0.114710578122055,0.114710578122055,1
