states,coherence
'10001',0.29
'00110',0.19
'01110',0.31
'11001',0.2
'00011',0.41
'11100',0.39
'01011',0.31
'10100',0.3
'10101',0.16
'00010',0.18
'11101',0.22
'01010',0.16
