"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0363119556494212,-0.331999310910061,-0.346237098955996,-0.370911338709355,0.156066398991797,-0.0710176081055275,-1,0.370911338709355,0.331999310910061,0.476027616519327
"GRHL2",1,1,-0.0363119556494212,-0.331999310910061,-0.346237098955996,-0.370911338709355,0.156066398991797,-0.0710176081055275,-1,0.370911338709355,0.331999310910061,0.476027616519327
"Iext",-0.0363119556494212,-0.0363119556494212,1,0.187959985518041,-0.0369001253276252,0.00181025406615086,0.00160047565177147,0.586556580053566,0.0363119556494212,-0.00181025406615086,-0.187959985518041,-0.181547149926689
"KEAP1",-0.331999310910061,-0.331999310910061,0.187959985518041,1,-0.32176011258865,-0.178331698532704,0.38154240171218,0.444931445862006,0.331999310910061,0.178331698532704,-1,-0.401807963705607
"NRF2",-0.346237098955996,-0.346237098955996,-0.0369001253276252,-0.32176011258865,1,0.21704464489725,-0.190766328430538,-0.450342730913198,0.346237098955996,-0.21704464489725,0.32176011258865,0.0453402073931538
"OCT4",-0.370911338709355,-0.370911338709355,0.00181025406615086,-0.178331698532704,0.21704464489725,1,-0.0228650673902808,-0.0208559100160359,0.370911338709355,-1,0.178331698532704,-0.151854311482309
"OVOL2",0.156066398991797,0.156066398991797,0.00160047565177147,0.38154240171218,-0.190766328430538,-0.0228650673902808,1,0.0467344116955212,-0.156066398991797,0.0228650673902808,-0.38154240171218,0.0497478961568364
"SNAIL",-0.0710176081055275,-0.0710176081055275,0.586556580053566,0.444931445862006,-0.450342730913198,-0.0208559100160359,0.0467344116955212,1,0.0710176081055275,0.0208559100160359,-0.444931445862006,-0.594991342589566
"ZEB",-1,-1,0.0363119556494212,0.331999310910061,0.346237098955996,0.370911338709355,-0.156066398991797,0.0710176081055275,1,-0.370911338709355,-0.331999310910061,-0.476027616519327
"miR145",0.370911338709355,0.370911338709355,-0.00181025406615086,0.178331698532704,-0.21704464489725,-1,0.0228650673902808,0.0208559100160359,-0.370911338709355,1,-0.178331698532704,0.151854311482309
"miR200",0.331999310910061,0.331999310910061,-0.187959985518041,-1,0.32176011258865,0.178331698532704,-0.38154240171218,-0.444931445862006,-0.331999310910061,-0.178331698532704,1,0.401807963705606
"miR34",0.476027616519327,0.476027616519327,-0.181547149926689,-0.401807963705607,0.0453402073931538,-0.151854311482309,0.0497478961568364,-0.594991342589566,-0.476027616519327,0.151854311482309,0.401807963705606,1
