"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0267692077156175,-0.19543000232495,-0.389950436765417,-0.00350752195855954,1,-0.045422242123371,-1,0.562818623963538,0.19543000232495,0.465757131226588
"GRHL2",1,1,-0.0267692077156175,-0.19543000232495,-0.389950436765417,-0.00350752195855954,1,-0.045422242123371,-1,0.562818623963538,0.19543000232495,0.465757131226588
"Iext",-0.0267692077156175,-0.0267692077156175,1,0.216086832688548,-0.0466336703191005,-0.0019078945410506,-0.0267692077156175,0.59310208200975,0.0267692077156175,-0.0103247527789916,-0.216086832688548,-0.172765417067882
"KEAP1",-0.19543000232495,-0.19543000232495,0.216086832688548,1,-0.414617803466835,-0.557203699637324,-0.19543000232495,0.499449350014398,0.19543000232495,0.148298744269743,-1,-0.36508704651154
"NRF2",-0.389950436765417,-0.389950436765417,-0.0466336703191005,-0.414617803466835,1,0.175570705630238,-0.389950436765417,-0.453528385337459,0.389950436765417,-0.299706121069296,0.414617803466835,0.0331922878178887
"OCT4",-0.00350752195855954,-0.00350752195855954,-0.0019078945410506,-0.557203699637324,0.175570705630238,1,-0.00350752195855954,-0.0566534058095928,0.00350752195855954,-0.440688774920304,0.557203699637324,0.0109304365888751
"OVOL2",1,1,-0.0267692077156175,-0.19543000232495,-0.389950436765417,-0.00350752195855954,1,-0.045422242123371,-1,0.562818623963538,0.19543000232495,0.465757131226588
"SNAIL",-0.045422242123371,-0.045422242123371,0.59310208200975,0.499449350014398,-0.453528385337459,-0.0566534058095928,-0.045422242123371,1,0.045422242123371,0.00912509969273601,-0.499449350014398,-0.579665053634261
"ZEB",-1,-1,0.0267692077156175,0.19543000232495,0.389950436765417,0.00350752195855954,-1,0.045422242123371,1,-0.562818623963538,-0.19543000232495,-0.465757131226588
"miR145",0.562818623963538,0.562818623963538,-0.0103247527789916,0.148298744269743,-0.299706121069296,-0.440688774920304,0.562818623963538,0.00912509969273601,-0.562818623963538,1,-0.148298744269743,0.24676555313495
"miR200",0.19543000232495,0.19543000232495,-0.216086832688548,-1,0.414617803466835,0.557203699637324,0.19543000232495,-0.499449350014398,-0.19543000232495,-0.148298744269743,1,0.36508704651154
"miR34",0.465757131226588,0.465757131226588,-0.172765417067882,-0.36508704651154,0.0331922878178887,0.0109304365888751,0.465757131226588,-0.579665053634261,-0.465757131226588,0.24676555313495,0.36508704651154,1
