"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0281502087259061,-0.750976609809998,-0.23950607155711,-0.344085370692071,1,-0.0906562458522963,-1,0.344085370692071,0.750976609809998,0.472504452328657
"GRHL2",1,1,-0.0281502087259061,-0.750976609809998,-0.23950607155711,-0.344085370692071,1,-0.0906562458522963,-1,0.344085370692071,0.750976609809998,0.472504452328657
"Iext",-0.0281502087259061,-0.0281502087259061,1,0.155770336917142,-0.0179262995346264,0.00610965453615528,-0.0281502087259061,0.562053232400287,0.0281502087259062,-0.00610965453615528,-0.155770336917142,-0.18020473141852
"KEAP1",-0.750976609809998,-0.750976609809998,0.155770336917142,1,-0.00951944955549116,0.0950623531359627,-0.750976609809998,0.339682822039723,0.750976609809998,-0.0950623531359627,-1,-0.537616851716907
"NRF2",-0.23950607155711,-0.23950607155711,-0.0179262995346264,-0.00951944955549116,1,0.121306913676942,-0.23950607155711,-0.455873074918392,0.23950607155711,-0.121306913676942,0.00951944955549116,0.0740244461314632
"OCT4",-0.344085370692071,-0.344085370692071,0.00610965453615528,0.0950623531359627,0.121306913676942,1,-0.344085370692071,0.00651045136797749,0.344085370692071,-1,-0.0950623531359627,-0.143944500075687
"OVOL2",1,1,-0.0281502087259061,-0.750976609809998,-0.23950607155711,-0.344085370692071,1,-0.0906562458522963,-1,0.344085370692071,0.750976609809998,0.472504452328657
"SNAIL",-0.0906562458522963,-0.0906562458522963,0.562053232400287,0.339682822039723,-0.455873074918392,0.00651045136797749,-0.0906562458522963,1,0.0906562458522963,-0.00651045136797749,-0.339682822039723,-0.618150578887059
"ZEB",-1,-1,0.0281502087259062,0.750976609809998,0.23950607155711,0.344085370692071,-1,0.0906562458522963,1,-0.344085370692071,-0.750976609809998,-0.472504452328657
"miR145",0.344085370692071,0.344085370692071,-0.00610965453615528,-0.0950623531359627,-0.121306913676942,-1,0.344085370692071,-0.00651045136797749,-0.344085370692071,1,0.0950623531359627,0.143944500075687
"miR200",0.750976609809998,0.750976609809998,-0.155770336917142,-1,0.00951944955549116,-0.0950623531359627,0.750976609809998,-0.339682822039723,-0.750976609809998,0.0950623531359627,1,0.537616851716907
"miR34",0.472504452328657,0.472504452328657,-0.18020473141852,-0.537616851716907,0.0740244461314632,-0.143944500075687,0.472504452328657,-0.618150578887059,-0.472504452328657,0.143944500075687,0.537616851716907,1
