"","Net","JSD"
"Ecad-NRF2_2-0.topo.jensen-shannon","Ecad-NRF2_2-0",1
"Ecad-NRF2_2-1.topo.jensen-shannon","Ecad-NRF2_2-1",1
"Ecad-ZEB_2-0.topo.jensen-shannon","Ecad-ZEB_2-0",1
"Ecad-ZEB_2-1.topo.jensen-shannon","Ecad-ZEB_2-1",1
"GRHL2-ZEB_2-0.topo.jensen-shannon","GRHL2-ZEB_2-0",1
"GRHL2-ZEB_2-1.topo.jensen-shannon","GRHL2-ZEB_2-1",1
"Iext-SNAIL_1-2.topo.jensen-shannon","Iext-SNAIL_1-2",1
"KEAP1-NRF2_2-0.topo.jensen-shannon","KEAP1-NRF2_2-0",1
"KEAP1-NRF2_2-1.topo.jensen-shannon","KEAP1-NRF2_2-1",1
"miR145-OCT4_2-0.topo.jensen-shannon","miR145-OCT4_2-0",1
"miR145-OCT4_2-1.topo.jensen-shannon","miR145-OCT4_2-1",1
"miR145-ZEB_2-0.topo.jensen-shannon","miR145-ZEB_2-0",1
"miR145-ZEB_2-1.topo.jensen-shannon","miR145-ZEB_2-1",1
"miR200-KEAP1_2-0.topo.jensen-shannon","miR200-KEAP1_2-0",1
"miR200-KEAP1_2-1.topo.jensen-shannon","miR200-KEAP1_2-1",1
"miR200-ZEB_2-0.topo.jensen-shannon","miR200-ZEB_2-0",1
"miR200-ZEB_2-1.topo.jensen-shannon","miR200-ZEB_2-1",1
"miR34-SNAIL_2-0.topo.jensen-shannon","miR34-SNAIL_2-0",0.796451666666667
"miR34-SNAIL_2-1.topo.jensen-shannon","miR34-SNAIL_2-1",1
"NRF2-SNAIL_2-0.topo.jensen-shannon","NRF2-SNAIL_2-0",0.84258
"NRF2-SNAIL_2-1.topo.jensen-shannon","NRF2-SNAIL_2-1",1
"OCT4-miR145_2-0.topo.jensen-shannon","OCT4-miR145_2-0",1
"OCT4-miR145_2-1.topo.jensen-shannon","OCT4-miR145_2-1",1
"OCT4-miR200_1-0.topo.jensen-shannon","OCT4-miR200_1-0",1
"OCT4-miR200_1-2.topo.jensen-shannon","OCT4-miR200_1-2",1
"OCT4-miR200_2-0.topo.jensen-shannon","OCT4-miR200_2-0",1
"OCT4-miR200_2-1.topo.jensen-shannon","OCT4-miR200_2-1",1
"OVOL2-miR200_2-0.topo.jensen-shannon","OVOL2-miR200_2-0",1
"OVOL2-miR200_2-1.topo.jensen-shannon","OVOL2-miR200_2-1",1
"OVOL2-OVOL2_2-0.topo.jensen-shannon","OVOL2-OVOL2_2-0",1
"OVOL2-OVOL2_2-1.topo.jensen-shannon","OVOL2-OVOL2_2-1",1
"OVOL2-ZEB_2-0.topo.jensen-shannon","OVOL2-ZEB_2-0",1
"OVOL2-ZEB_2-1.topo.jensen-shannon","OVOL2-ZEB_2-1",1
"SNAIL-miR34_2-0.topo.jensen-shannon","SNAIL-miR34_2-0",1
"SNAIL-miR34_2-1.topo.jensen-shannon","SNAIL-miR34_2-1",1
"SNAIL-SNAIL_2-0.topo.jensen-shannon","SNAIL-SNAIL_2-0",1
"SNAIL-SNAIL_2-1.topo.jensen-shannon","SNAIL-SNAIL_2-1",1
"SNAIL-ZEB_1-0.topo.jensen-shannon","SNAIL-ZEB_1-0",1
"SNAIL-ZEB_1-2.topo.jensen-shannon","SNAIL-ZEB_1-2",1
"SNAIL_miR200_2-0.topo.jensen-shannon","SNAIL_miR200_2-0",1
"SNAIL_miR200_2-1.topo.jensen-shannon","SNAIL_miR200_2-1",1
"wild.topo.jensen-shannon","wild",1
"ZEB-Ecad_2-0.topo.jensen-shannon","ZEB-Ecad_2-0",1
"ZEB-Ecad_2-1.topo.jensen-shannon","ZEB-Ecad_2-1",1
"ZEB-GRHL2_2-0.topo.jensen-shannon","ZEB-GRHL2_2-0",1
"ZEB-GRHL2_2-1.topo.jensen-shannon","ZEB-GRHL2_2-1",1
"ZEB-miR145_2-0.topo.jensen-shannon","ZEB-miR145_2-0",1
"ZEB-miR145_2-1.topo.jensen-shannon","ZEB-miR145_2-1",1
"ZEB-miR200_2-0.topo.jensen-shannon","ZEB-miR200_2-0",1
"ZEB-miR200_2-1.topo.jensen-shannon","ZEB-miR200_2-1",1
"ZEB-miR34_2-0.topo.jensen-shannon","ZEB-miR34_2-0",1
"ZEB-miR34_2-1.topo.jensen-shannon","ZEB-miR34_2-1",1
"ZEB-OVOL2_2-0.topo.jensen-shannon","ZEB-OVOL2_2-0",0.5
"ZEB-OVOL2_2-1.topo.jensen-shannon","ZEB-OVOL2_2-1",1
"ZEB-ZEB_1-0.topo.jensen-shannon","ZEB-ZEB_1-0",1
"ZEB-ZEB_1-2.topo.jensen-shannon","ZEB-ZEB_1-2",1
