"","Ecad","GRHL2","Iext","KEAP1","NRF2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200","miR34"
"Ecad",1,1,-0.0288338597170444,-0.078693402399006,-0.417500710656795,-0.355625975292062,1,-0.280132993981903,-1,0.355625975292062,0.078693402399006,0.857628728552579
"GRHL2",1,1,-0.0288338597170444,-0.078693402399006,-0.417500710656795,-0.355625975292062,1,-0.280132993981903,-1,0.355625975292062,0.078693402399006,0.857628728552579
"Iext",-0.0288338597170444,-0.0288338597170444,1,0.280135995829517,-0.0510615274131895,0.00440496734045117,-0.0288338597170444,0.748699432260879,0.0288338597170444,-0.00440496734045119,-0.280135995829517,0.113537967632648
"KEAP1",-0.078693402399006,-0.078693402399006,0.280135995829517,1,-0.503805108150043,-0.448338711469142,-0.078693402399006,0.53143778715835,0.078693402399006,0.448338711469142,-1,0.063678514754394
"NRF2",-0.417500710656795,-0.417500710656795,-0.0510615274131895,-0.503805108150043,1,0.270123803211335,-0.417500710656795,-0.302364946615977,0.417500710656795,-0.270123803211335,0.503805108150043,-0.559872668396835
"OCT4",-0.355625975292062,-0.355625975292062,0.00440496734045117,-0.448338711469142,0.270123803211335,1,-0.355625975292062,0.0202225604344159,0.355625975292062,-1,0.448338711469142,-0.319782879780407
"OVOL2",1,1,-0.0288338597170444,-0.078693402399006,-0.417500710656795,-0.355625975292062,1,-0.280132993981903,-1,0.355625975292062,0.078693402399006,0.857628728552579
"SNAIL",-0.280132993981903,-0.280132993981903,0.748699432260879,0.53143778715835,-0.302364946615977,0.0202225604344159,-0.280132993981903,1,0.280132993981903,-0.0202225604344159,-0.53143778715835,-0.137759658102672
"ZEB",-1,-1,0.0288338597170444,0.078693402399006,0.417500710656795,0.355625975292062,-1,0.280132993981903,1,-0.355625975292062,-0.078693402399006,-0.857628728552579
"miR145",0.355625975292062,0.355625975292062,-0.00440496734045119,0.448338711469142,-0.270123803211335,-1,0.355625975292062,-0.0202225604344159,-0.355625975292062,1,-0.448338711469142,0.319782879780407
"miR200",0.078693402399006,0.078693402399006,-0.280135995829517,-1,0.503805108150043,0.448338711469142,0.078693402399006,-0.53143778715835,-0.078693402399006,-0.448338711469142,1,-0.063678514754394
"miR34",0.857628728552579,0.857628728552579,0.113537967632648,0.063678514754394,-0.559872668396835,-0.319782879780407,0.857628728552579,-0.137759658102672,-0.857628728552579,0.319782879780407,-0.063678514754394,1
